Time;Frame;Speed;DistanceToOptimalPath;Position;Rotation;SteeringInput;UpcomingOperation;ThrottleInput;BrakeInput;TrackProgress
0;19;0,8783354;1000;(-0.003, 0.199, -59.293);(358.875, 0.004, 359.485);0;Left;0;2800;Unkown
0;20;0,9764429;1000;(-0.003, 0.182, -59.293);(358.837, 0.005, 359.465);0;Left;0;2800;Unkown
0;21;1,074552;1000;(-0.003, 0.159, -59.293);(358.789, 0.005, 359.441);0;Left;0;2800;Unkown
0;22;1,172663;1000;(-0.003, 0.138, -59.293);(358.751, 0.005, 359.420);0;Left;0;2800;Unkown
0;23;1,247578;1000;(-0.003, 0.112, -59.292);(358.718, 0.006, 359.438);0;Left;0;2800;Unkown
0;24;1,235072;1000;(-0.002, 0.083, -59.293);(358.777, 0.010, 359.706);0;Left;0;2800;Unkown
0;25;1,139686;1000;(-0.001, 0.064, -59.294);(358.978, 0.036, 359.944);0;Left;0;2800;Unkown
0;26;0,9522387;1000;(-0.001, 0.048, -59.296);(359.285, 0.064, 0.076);0;Left;0;2800;Unkown
0;27;0,6332809;1000;(-0.002, 0.034, -59.299);(359.732, 0.070, 0.132);0;Left;0;2800;Unkown
0;28;0,3075685;1000;(-0.002, 0.028, -59.301);(0.016, 0.070, 0.140);0;Left;0;2800;Unkown
0;29;0,02050969;1000;(-0.002, 0.026, -59.302);(0.249, 0.071, 0.129);0;Left;0;2800;Unkown
0;30;0,2159715;1000;(-0.002, 0.029, -59.303);(0.415, 0.069, 0.085);0;Left;0;2800;Unkown
0;31;0,3869897;1000;(-0.002, 0.035, -59.304);(0.514, 0.071, 0.065);0;Left;0;2800;Unkown
0;32;0,495311;1000;(-0.002, 0.044, -59.304);(0.549, 0.068, 0.025);0;Left;0;2800;Unkown
0;33;0,5441463;1000;(-0.002, 0.053, -59.304);(0.533, 0.067, 0.012);0;Left;0;2800;Unkown
0;34;0,5416963;1000;(-0.002, 0.062, -59.304);(0.491, 0.065, -0.001);0;Left;0;2800;Unkown
0;35;0,4981715;1000;(-0.002, 0.071, -59.304);(0.420, 0.064, 359.993);0;Left;0;2800;Unkown
0;36;0,4981715;1000;(-0.002, 0.080, -59.303);(0.332, 0.062, 359.991);0;Left;0;2800;Unkown
0;37;0,4249889;1000;(-0.002, 0.087, -59.303);(0.245, 0.061, 359.992);0;Left;0;2800;Unkown
0;38;0,3335843;1000;(-0.002, 0.092, -59.302);(0.157, 0.061, 359.993);0;Left;0;2800;Unkown
0;39;0,234553;1000;(-0.001, 0.097, -59.302);(0.066, 0.061, -0.004);0;Left;0;2800;Unkown
0;40;0,1370177;1000;(-0.001, 0.099, -59.301);(359.990, 0.062, -0.003);0;Left;0;2800;Unkown
0;41;0,04835522;1000;(-0.001, 0.100, -59.301);(359.942, 0.064, -0.002);0;Left;0;2800;Unkown
0;42;0,02791784;1000;(-0.001, 0.099, -59.301);(359.907, 0.065, -0.001);0;Left;0;2800;Unkown
0;43;0,08571112;1000;(-0.001, 0.098, -59.301);(359.885, 0.066, -0.002);0;Left;0;2800;Unkown
0;44;0,1258982;1000;(-0.001, 0.096, -59.301);(359.878, 0.066, -0.002);0;Left;0;2800;Unkown
0;45;0,1485583;1000;(-0.001, 0.093, -59.301);(359.882, 0.066, -0.003);0;Left;0;2800;Unkown
0;46;0,1553697;1000;(-0.001, 0.089, -59.301);(359.896, 0.065, -0.003);0;Left;0;2800;Unkown
0;47;0,1489207;1000;(-0.001, 0.086, -59.301);(359.917, 0.064, -0.004);0;Left;0;2800;Unkown
0;48;0,1088188;1000;(-0.001, 0.083, -59.302);(359.942, 0.063, -0.003);0;Left;0;2800;Unkown
0;49;0,08161061;1000;(-0.001, 0.081, -59.302);(359.965, 0.063, -0.003);0;Left;0;2800;Unkown
0;50;0,05352596;1000;(-0.001, 0.080, -59.302);(359.985, 0.063, -0.002);0;Left;0;2800;Unkown
0;51;0,02698355;1000;(-0.001, 0.079, -59.302);(0.003, 0.063, -0.002);0;Left;0;2800;Unkown
0;52;0,005270532;1000;(-0.001, 0.079, -59.303);(0.016, 0.063, -0.001);0;Left;0;2800;Unkown
0;53;0,01653099;1000;(-0.001, 0.079, -59.303);(0.023, 0.064, -0.001);0;Left;0;2800;Unkown
