Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
32371;1000003932844743300;63731540518973;(-0.289, -0.174, -0.204);(13.173, 11.425, 2.675);VALID;-0.0234221387654543, 0.0073338458314538, 0.999698758125305;0, 0, 0;VALID;-0.0210653971880674, 0.0039880252443254, 0.999770164489746;-0.0323067493736744, 0, 0;0.19415956735611;VALID;-0.0257784873247147, 0.0106795439496636, 0.999610602855682;0.0323067493736744, 0, 0;0.20064152777195;2;1
32372;1000003932854741600;63731540518973;(-0.289, -0.174, -0.204);(13.173, 11.425, 2.675);VALID;-0.0233835149556398, 0.00745655177161098, 0.999698758125305;0, 0, 0;VALID;-0.0209954623132944, 0.00418829638510942, 0.999770820140839;-0.0323067493736744, 0, 0;0.193821519613266;VALID;-0.0257711857557297, 0.0107246842235327, 0.999610364437103;0.0323067493736744, 0, 0;0.200375393033028;2;1
32373;1000003932864788700;63731540518990;(-0.289, -0.174, -0.204);(13.170, 11.442, 2.676);VALID;-0.0233550202101469, 0.00753796240314841, 0.99969881772995;0, 0, 0;VALID;-0.0209292657673359, 0.0043331915512681, 0.999771595001221;-0.0323067493736744, 0, 0;0.19422872364521;VALID;-0.0257803965359926, 0.0107426112517715, 0.999609887599945;0.0323067493736744, 0, 0;0.200220137834549;2;1
32374;1000003932874745100;63731540518990;(-0.289, -0.174, -0.204);(13.170, 11.442, 2.676);VALID;-0.0233081076294184, 0.00758847035467625, 0.999699532985687;0, 0, 0;VALID;-0.0208585299551487, 0.00446247356012464, 0.999772489070892;-0.0323067493736744, 0, 0;0.194231435656548;VALID;-0.0257573164999485, 0.010714347474277, 0.999610781669617;0.0323067493736744, 0, 0;0.200645729899406;2;1
32375;1000003932884775200;63731540519009;(-0.289, -0.174, -0.204);(13.164, 11.447, 2.683);VALID;-0.0232684928923845, 0.00765720102936029, 0.999699950218201;0, 0, 0;VALID;-0.0207980554550886, 0.0045818043872714, 0.99977320432663;-0.0323067493736744, 0, 0;0.194247663021088;VALID;-0.0257385652512312, 0.0107324784621596, 0.999611079692841;0.0323067493736744, 0, 0;0.200220137834549;2;1
32376;1000003932894825900;63731540519009;(-0.289, -0.174, -0.204);(13.164, 11.447, 2.683);VALID;-0.0233274158090353, 0.00764303514733911, 0.999698638916016;0, 0, 0;VALID;-0.0208735968917608, 0.00457334145903587, 0.999771654605865;-0.0323067493736744, 0, 0;0.195183709263802;VALID;-0.025780875235796, 0.0107126105576754, 0.999610245227814;0.0323067493736744, 0, 0;0.200479492545128;2;1
32377;1000003932904981200;63731540519028;(-0.289, -0.174, -0.204);(13.191, 11.421, 2.708);VALID;-0.0233010090887547, 0.0076653896830976, 0.999699115753174;0, 0, 0;VALID;-0.020853178575635, 0.00453086802735925, 0.999772310256958;-0.0323067493736744, 0, 0;0.19482846558094;VALID;-0.0257484707981348, 0.0107997907325625, 0.999610126018524;0.0323067493736744, 0, 0;0.200642362236977;2;1
32378;1000003932914882800;63731540519028;(-0.289, -0.174, -0.204);(13.191, 11.421, 2.708);VALID;-0.0232724286615849, 0.00756026059389114, 0.999700546264648;0, 0, 0;VALID;-0.0208710003644228, 0.00439097173511982, 0.999772548675537;-0.0323067493736744, 0, 0;0.195438116788864;VALID;-0.0256734900176525, 0.0107294293120503, 0.999612808227539;0.0323067493736744, 0, 0;0.201521456241608;2;1
32379;1000003932924913800;63731540519047;(-0.289, -0.174, -0.204);(13.193, 11.423, 2.695);VALID;-0.0232096295803785, 0.00750701921060681, 0.999702453613281;0, 0, 0;VALID;-0.0208361614495516, 0.00424986099824309, 0.999773859977722;-0.0323067493736744, 0, 0;0.19554939866066;VALID;-0.0255827214568853, 0.0107640558853745, 0.999614775180817;0.0323067493736744, 0, 0;0.201208144426346;2;1
32380;1000003932934981900;63731540519047;(-0.289, -0.174, -0.204);(13.193, 11.423, 2.695);VALID;-0.0230996944010258, 0.00758366798982024, 0.999704420566559;0, 0, 0;VALID;-0.0206995159387589, 0.00438886368647218, 0.999776124954224;-0.0323067493736744, 0, 0;0.19445338845253;VALID;-0.0254995040595531, 0.0107783516868949, 0.999616742134094;0.0323067493736744, 0, 0;0.201146379113197;2;1
