Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
22273;1000003831665663000;63731540417789;(-0.271, -0.177, 0.024);(16.058, 18.567, 359.835);VALID;-0.0356381051242352, 0.00354185933247209, 0.999358475208282;0, 0, 0;VALID;-0.036845576018095, 0.000608122674748302, 0.999320805072784;-0.0323336496949196, 0, 0;0.210819840431213;VALID;-0.0344302766025066, 0.0064755599014461, 0.999386131763458;0.0323336496949196, 0, 0;0.223745360970497;2;1
22274;1000003831675659400;63731540417789;(-0.271, -0.177, 0.024);(16.058, 18.567, 359.835);VALID;-0.0356969870626926, 0.0036461022682488, 0.999356031417847;0, 0, 0;VALID;-0.0370355434715748, 0.000768511614296585, 0.999313652515411;-0.0323336496949196, 0, 0;0.211745664477348;VALID;-0.0343580693006516, 0.00652365665882826, 0.99938827753067;0.0323336496949196, 0, 0;0.223210871219635;2;1
22275;1000003831685676000;63731540417805;(-0.271, -0.177, 0.024);(16.053, 18.567, 359.836);VALID;-0.0356022082269192, 0.00385106913745403, 0.999358594417572;0, 0, 0;VALID;-0.0369296558201313, 0.00106095790397376, 0.999317288398743;-0.0323336496949196, 0, 0;0.210380673408508;VALID;-0.0342744216322899, 0.00664114346727729, 0.999390423297882;0.0323336496949196, 0, 0;0.22372929751873;2;1
22276;1000003831695684800;63731540417822;(-0.271, -0.177, 0.023);(16.058, 18.575, 359.846);VALID;-0.0355910398066044, 0.00396486138924956, 0.999358594417572;0, 0, 0;VALID;-0.0370623506605625, 0.00100595527328551, 0.999312460422516;-0.0323336496949196, 0, 0;0.209706515073776;VALID;-0.0341193377971649, 0.00692372443154454, 0.99939376115799;0.0323336496949196, 0, 0;0.225130245089531;2;1
22277;1000003831705671800;63731540417822;(-0.271, -0.177, 0.023);(16.058, 18.575, 359.846);VALID;-0.0356081947684288, 0.00414392398670316, 0.999357223510742;0, 0, 0;VALID;-0.0370402783155441, 0.00121985271107405, 0.999313056468964;-0.0323336496949196, 0, 0;0.210753530263901;VALID;-0.0341757349669933, 0.00706795137375593, 0.999390840530396;0.0323336496949196, 0, 0;0.2247554063797;2;1
22278;1000003831715780400;63731540417838;(-0.271, -0.177, 0.023);(16.050, 18.569, 359.842);VALID;-0.0357141755521297, 0.004098204895854, 0.999353647232056;0, 0, 0;VALID;-0.0371294729411602, 0.00121701823081821, 0.999309718608856;-0.0323336496949196, 0, 0;0.211170613765717;VALID;-0.0342985093593597, 0.0069793495349586, 0.999387264251709;0.0323336496949196, 0, 0;0.224605232477188;2;1
22279;1000003831725843500;63731540417838;(-0.271, -0.177, 0.023);(16.050, 18.569, 359.842);VALID;-0.0355507358908653, 0.00393838249146938, 0.999360084533691;0, 0, 0;VALID;-0.0369437336921692, 0.000947148713748902, 0.999316871166229;-0.0323336496949196, 0, 0;0.209951132535934;VALID;-0.0341573506593704, 0.00692957313731313, 0.999392449855804;0.0323336496949196, 0, 0;0.223393261432648;2;1
22280;1000003831735766800;63731540417855;(-0.271, -0.177, 0.023);(16.061, 18.579, 359.831);VALID;-0.0353280678391457, 0.00395698379725218, 0.999367952346802;0, 0, 0;VALID;-0.0367834679782391, 0.000641107209958136, 0.999323070049286;-0.0323336496949196, 0, 0;0.209877654910088;VALID;-0.0338722094893456, 0.00727280834689736, 0.999399721622467;0.0323336496949196, 0, 0;0.22571824491024;2;1
22281;1000003831745806700;63731540417871;(-0.271, -0.177, 0.023);(16.054, 18.578, 359.826);VALID;-0.0352528616786003, 0.00378265674225986, 0.999371290206909;0, 0, 0;VALID;-0.0366913862526417, 0.000481932831462473, 0.999326527118683;-0.0323336496949196, 0, 0;0.212328985333443;VALID;-0.0338138788938522, 0.00708333123475313, 0.999403059482574;0.0323336496949196, 0, 0;0.224226489663124;2;1
22282;1000003831755884700;63731540417871;(-0.271, -0.177, 0.023);(16.054, 18.578, 359.826);VALID;-0.0351912379264832, 0.00364206940867007, 0.999373972415924;0, 0, 0;VALID;-0.0366885848343372, 0.000251364632276818, 0.999326705932617;-0.0323336496949196, 0, 0;0.211344420909882;VALID;-0.0336934067308903, 0.0070327240973711, 0.999407470226288;0.0323336496949196, 0, 0;0.223735958337784;2;1
22283;1000003831765803400;63731540417888;(-0.271, -0.177, 0.023);(16.065, 18.603, 359.836);VALID;-0.0350557528436184, 0.00374036352150142, 0.999378383159637;0, 0, 0;VALID;-0.036688543856144, 0.000443878321675584, 0.999326646327972;-0.0323336496949196, 0, 0;0.211344420909882;VALID;-0.0334224924445152, 0.00703679816797376, 0.999416530132294;0.0323336496949196, 0, 0;0.225416049361229;2;1
22284;1000003831775897900;63731540417888;(-0.271, -0.177, 0.023);(16.065, 18.603, 359.836);VALID;-0.0350498594343662, 0.00384016078896821, 0.999378204345703;0, 0, 0;VALID;-0.0366868898272514, 0.000590514217037708, 0.999326646327972;-0.0323336496949196, 0, 0;0.211344420909882;VALID;-0.033412367105484, 0.00708975689485669, 0.999416530132294;0.0323336496949196, 0, 0;0.22553126513958;2;1
22285;1000003831785906000;63731540417905;(-0.271, -0.177, 0.023);(16.075, 18.599, 359.838);VALID;-0.0349385775625706, 0.00373386032879353, 0.999382495880127;0, 0, 0;VALID;-0.0366334989666939, 0.000408261956181377, 0.999328672885895;-0.0323336496949196, 0, 0;0.212105795741081;VALID;-0.0332431681454182, 0.00705940648913383, 0.999422371387482;0.0323336496949196, 0, 0;0.225747674703598;2;1
22286;1000003831795943400;63731540417923;(-0.271, -0.177, 0.023);(16.097, 18.599, 359.851);VALID;-0.0347821973264217, 0.00385019718669355, 0.999387502670288;0, 0, 0;VALID;-0.0363332740962505, 0.000385661405744031, 0.999339640140533;-0.0323336496949196, 0, 0;0.210056468844414;VALID;-0.0332306176424026, 0.00731467735022306, 0.999420940876007;0.0323336496949196, 0, 0;0.225697815418243;2;1
22287;1000003831805940100;63731540417923;(-0.271, -0.177, 0.023);(16.097, 18.599, 359.851);VALID;-0.0348288081586361, 0.00383248715661466, 0.999385952949524;0, 0, 0;VALID;-0.0364114046096802, 0.000254237034823745, 0.999336838722229;-0.0323336496949196, 0, 0;0.212052419781685;VALID;-0.033245675265789, 0.00741067854687572, 0.999419748783112;0.0323336496949196, 0, 0;0.225509822368622;2;1
22288;1000003831815946300;63731540417941;(-0.271, -0.177, 0.023);(16.092, 18.594, 359.842);VALID;-0.0349086970090866, 0.00354128540493548, 0.999384224414825;0, 0, 0;VALID;-0.0365689806640148, -0.000212229904718697, 0.999331116676331;-0.0323336496949196, 0, 0;0.211401835083961;VALID;-0.0332478247582912, 0.00729474099352956, 0.999420523643494;0.0323336496949196, 0, 0;0.224667981266975;2;1
22289;1000003831825962100;63731540417941;(-0.271, -0.177, 0.023);(16.092, 18.594, 359.842);VALID;-0.0348920449614525, 0.00327875115908682, 0.999385714530945;0, 0, 0;VALID;-0.0366582088172436, -0.000685002712998539, 0.999327600002289;-0.0323336496949196, 0, 0;0.210513785481453;VALID;-0.0331252254545689, 0.00724244304001331, 0.999424993991852;0.0323336496949196, 0, 0;0.225026026368141;2;1
22290;1000003831835909200;63731540417959;(-0.271, -0.177, 0.023);(16.099, 18.595, 359.834);VALID;-0.0347980633378029, 0.00317747984081507, 0.999389290809631;0, 0, 0;VALID;-0.0365520268678665, -0.00086849759100005, 0.99933135509491;-0.0323336496949196, 0, 0;0.210215419530869;VALID;-0.0330434255301952, 0.00722339516505599, 0.999427795410156;0.0323336496949196, 0, 0;0.224465250968933;2;1
22291;1000003831846069100;63731540417959;(-0.271, -0.177, 0.023);(16.099, 18.595, 359.834);VALID;-0.0346878096461296, 0.00297551299445331, 0.99939376115799;0, 0, 0;VALID;-0.0364344716072083, -0.00105618103407323, 0.999335467815399;-0.0323336496949196, 0, 0;0.210215419530869;VALID;-0.0329404808580875, 0.00700714951381087, 0.999432742595673;0.0323336496949196, 0, 0;0.22405081987381;2;1
22292;1000003831856304900;63731540417979;(-0.271, -0.177, 0.023);(16.099, 18.603, 359.835);VALID;-0.0345800183713436, 0.00273623084649444, 0.999398171901703;0, 0, 0;VALID;-0.0363619662821293, -0.00128779618535191, 0.99933785200119;-0.0323336496949196, 0, 0;0.209842339158058;VALID;-0.0327973999083042, 0.00676020514219999, 0.999439179897308;0.0323336496949196, 0, 0;0.224235638976097;2;1
22293;1000003831866077000;63731540417979;(-0.271, -0.177, 0.023);(16.099, 18.603, 359.835);VALID;-0.0341461785137653, 0.0029533514752984, 0.999412477016449;0, 0, 0;VALID;-0.0355615206062794, -0.000556138344109058, 0.999367356300354;-0.0323336496949196, 0, 0;0.210215419530869;VALID;-0.0327303446829319, 0.00646279891952872, 0.999443352222443;0.0323336496949196, 0, 0;0.224227964878082;2;1
22294;1000003831876039300;63731540417998;(-0.271, -0.177, 0.023);(16.108, 18.596, 359.837);VALID;-0.0340786948800087, 0.00276545831002295, 0.999415338039398;0, 0, 0;VALID;-0.0355543717741966, -0.000756915949750692, 0.999367475509644;-0.0323336496949196, 0, 0;0.210215419530869;VALID;-0.0326025187969208, 0.00628779223188758, 0.999448597431183;0.0323336496949196, 0, 0;0.224468111991882;2;1
22295;1000003831886062300;63731540417998;(-0.271, -0.177, 0.023);(16.108, 18.596, 359.837);VALID;-0.0336238406598568, 0.00294732325710356, 0.999430239200592;0, 0, 0;VALID;-0.0346504114568233, -0.000119184769573621, 0.999399483203888;-0.0323336496949196, 0, 0;0.210215419530869;VALID;-0.0325969196856022, 0.00601380039006472, 0.999450504779816;0.0323336496949196, 0, 0;0.224763199687004;2;1
22296;1000003831896055000;63731540418017;(-0.271, -0.177, 0.023);(16.118, 18.603, 359.838);VALID;-0.0332543067634106, 0.00333487219177186, 0.999441385269165;0, 0, 0;VALID;-0.0339298620820045, 0.000756368972361088, 0.999423921108246;-0.0323336496949196, 0, 0;0.209842339158058;VALID;-0.0325785167515278, 0.00591335166245699, 0.999451696872711;0.0323336496949196, 0, 0;0.224719986319542;2;1
22297;1000003831906163600;63731540418017;(-0.271, -0.177, 0.023);(16.118, 18.603, 359.838);VALID;-0.0332960374653339, 0.00323775596916676, 0.999440312385559;0, 0, 0;VALID;-0.0339707061648369, 0.000679583172313869, 0.999422609806061;-0.0323336496949196, 0, 0;0.212047502398491;VALID;-0.0326211340725422, 0.00579590629786253, 0.999450981616974;0.0323336496949196, 0, 0;0.224970772862434;2;1
22298;1000003831916265600;63731540418036;(-0.271, -0.177, 0.023);(16.108, 18.611, 359.843);VALID;-0.0332289710640907, 0.00336862471885979, 0.999442100524902;0, 0, 0;VALID;-0.0338789783418179, 0.001032764906995, 0.999425411224365;-0.0323336496949196, 0, 0;0.210846215486526;VALID;-0.0325787737965584, 0.00570446439087391, 0.999452888965607;0.0323336496949196, 0, 0;0.224635228514671;2;1
