Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
8735;1000003696018881500;63731540282140;(-0.095, -0.598, 0.015);(353.955, 37.463, 1.077);INVALID;;;INVALID;;;;INVALID;;;;;
8745;1000003696118951300;63731540282238;(-0.095, -0.598, 0.015);(353.943, 37.466, 1.077);INVALID;;;INVALID;;;;INVALID;;;;;
8755;1000003696219207700;63731540282339;(-0.095, -0.598, 0.015);(353.954, 37.457, 1.075);INVALID;;;INVALID;;;;INVALID;;;;;
8764;1000003696309469800;63731540282422;(-0.096, -0.598, 0.015);(353.942, 37.450, 1.071);INVALID;;;INVALID;;;;INVALID;;;;;
8775;1000003696419639600;63731540282538;(-0.096, -0.598, 0.015);(353.945, 37.447, 1.077);INVALID;;;INVALID;;;;INVALID;;;;;
8785;1000003696519747400;63731540282640;(-0.096, -0.598, 0.015);(353.934, 37.451, 1.076);INVALID;;;INVALID;;;;INVALID;;;;;
8795;1000003696619887800;63731540282740;(-0.096, -0.598, 0.015);(353.951, 37.441, 1.072);INVALID;;;INVALID;;;;INVALID;;;;;
8805;1000003696720222000;63731540282840;(-0.096, -0.598, 0.016);(353.927, 37.449, 1.073);INVALID;;;INVALID;;;;INVALID;;;;;
8814;1000003696810329700;63731540282956;(-0.096, -0.598, 0.016);(353.942, 37.437, 1.066);INVALID;;;INVALID;;;;INVALID;;;;;
8825;1000003696920591600;63731540283040;(-0.097, -0.598, 0.016);(353.942, 37.443, 1.066);INVALID;;;INVALID;;;;INVALID;;;;;
8834;1000003697010749500;63731540283123;(-0.097, -0.598, 0.016);(353.942, 37.440, 1.061);INVALID;;;INVALID;;;;INVALID;;;;;
8845;1000003697121006500;63731540283240;(-0.097, -0.598, 0.016);(353.929, 37.437, 1.053);INVALID;;;INVALID;;;;INVALID;;;;;
8855;1000003697221090500;63731540283340;(-0.097, -0.598, 0.016);(353.928, 37.442, 1.046);INVALID;;;INVALID;;;;INVALID;;;;;
8864;1000003697311419100;63731540283423;(-0.097, -0.598, 0.016);(353.936, 37.435, 1.049);INVALID;;;INVALID;;;;INVALID;;;;;
8875;1000003697421492800;63731540283540;(-0.097, -0.598, 0.016);(353.929, 37.433, 1.042);INVALID;;;INVALID;;;;INVALID;;;;;
8884;1000003697511835400;63731540283623;(-0.097, -0.598, 0.016);(353.925, 37.438, 1.056);INVALID;;;INVALID;;;;INVALID;;;;;
8895;1000003697621896600;63731540283740;(-0.097, -0.597, 0.016);(353.930, 37.435, 1.055);INVALID;;;INVALID;;;;INVALID;;;;;
8905;1000003697722186800;63731540283840;(-0.097, -0.597, 0.016);(353.935, 37.434, 1.060);INVALID;;;INVALID;;;;INVALID;;;;;
13804;1000003746808719800;63731540332946;(-0.095, -0.598, 0.015);(353.959, 37.507, 1.163);INVALID;;;INVALID;;;;INVALID;;;;;
13815;1000003746918885900;63731540333034;(-0.095, -0.599, 0.015);(353.942, 37.528, 1.118);INVALID;;;INVALID;;;;INVALID;;;;;
13825;1000003747019140900;63731540333138;(-0.095, -0.599, 0.015);(353.965, 37.543, 1.137);INVALID;;;INVALID;;;;INVALID;;;;;
13835;1000003747119259400;63731540333238;(-0.094, -0.599, 0.014);(353.977, 37.559, 1.137);INVALID;;;INVALID;;;;INVALID;;;;;
13845;1000003747219520300;63731540333340;(-0.094, -0.599, 0.014);(353.975, 37.568, 1.128);INVALID;;;INVALID;;;;INVALID;;;;;
13854;1000003747309637800;63731540333421;(-0.094, -0.599, 0.014);(353.972, 37.565, 1.128);INVALID;;;INVALID;;;;INVALID;;;;;
13865;1000003747419901800;63731540333555;(-0.094, -0.599, 0.014);(353.956, 37.555, 1.177);INVALID;;;INVALID;;;;INVALID;;;;;
13874;1000003747510039000;63731540333622;(-0.094, -0.599, 0.014);(353.948, 37.552, 1.168);INVALID;;;INVALID;;;;INVALID;;;;;
13885;1000003747620303500;63731540333738;(-0.094, -0.599, 0.014);(353.970, 37.569, 1.148);INVALID;;;INVALID;;;;INVALID;;;;;
13895;1000003747720491100;63731540333839;(-0.094, -0.599, 0.014);(353.970, 37.597, 1.143);INVALID;;;INVALID;;;;INVALID;;;;;
13904;1000003747810739500;63731540333921;(-0.094, -0.599, 0.014);(353.994, 37.597, 1.147);INVALID;;;INVALID;;;;INVALID;;;;;
13915;1000003747920921400;63731540334039;(-0.095, -0.599, 0.014);(353.977, 37.614, 1.160);INVALID;;;INVALID;;;;INVALID;;;;;
13924;1000003748010980900;63731540334121;(-0.095, -0.599, 0.014);(353.966, 37.610, 1.165);INVALID;;;INVALID;;;;INVALID;;;;;
13935;1000003748121246400;63731540334238;(-0.095, -0.599, 0.014);(353.966, 37.606, 1.160);INVALID;;;INVALID;;;;INVALID;;;;;
13945;1000003748221538300;63731540334338;(-0.095, -0.599, 0.014);(353.971, 37.614, 1.162);INVALID;;;INVALID;;;;INVALID;;;;;
13954;1000003748311683300;63731540334421;(-0.095, -0.598, 0.014);(353.972, 37.608, 1.161);INVALID;;;INVALID;;;;INVALID;;;;;
13965;1000003748421826700;63731540334538;(-0.095, -0.598, 0.015);(353.963, 37.611, 1.156);INVALID;;;INVALID;;;;INVALID;;;;;
13974;1000003748512076300;63731540334656;(-0.095, -0.598, 0.014);(354.014, 37.376, 1.080);INVALID;;;INVALID;;;;INVALID;;;;;
13985;1000003748622188200;63731540334738;(-0.095, -0.598, 0.015);(353.980, 37.415, 1.121);INVALID;;;INVALID;;;;INVALID;;;;;
13995;1000003748722477600;63731540334839;(-0.095, -0.598, 0.015);(353.964, 37.419, 1.102);INVALID;;;INVALID;;;;INVALID;;;;;
14004;1000003748812615800;63731540334922;(-0.095, -0.598, 0.015);(353.959, 37.421, 1.106);INVALID;;;INVALID;;;;INVALID;;;;;
14015;1000003748922856100;63731540335038;(-0.095, -0.598, 0.015);(353.964, 37.413, 1.083);INVALID;;;INVALID;;;;INVALID;;;;;
14024;1000003749012990100;63731540335122;(-0.095, -0.598, 0.015);(353.935, 37.424, 1.062);INVALID;;;INVALID;;;;INVALID;;;;;
14035;1000003749123278400;63731540335238;(-0.096, -0.598, 0.015);(353.941, 37.374, 1.065);INVALID;;;INVALID;;;;INVALID;;;;;
14044;1000003749213394400;63731540335322;(-0.096, -0.598, 0.015);(353.921, 37.382, 1.118);INVALID;;;INVALID;;;;INVALID;;;;;
14054;1000003749313658000;63731540335438;(-0.096, -0.598, 0.015);(353.940, 37.369, 1.110);INVALID;;;INVALID;;;;INVALID;;;;;
14065;1000003749423849800;63731540335541;(-0.096, -0.598, 0.015);(353.927, 37.397, 1.167);INVALID;;;INVALID;;;;INVALID;;;;;
14074;1000003749514116100;63731540335633;(-0.096, -0.598, 0.015);(353.951, 37.405, 1.072);INVALID;;;INVALID;;;;INVALID;;;;;
14085;1000003749624228900;63731540335776;(-0.096, -0.598, 0.015);(353.946, 37.355, 1.101);INVALID;;;INVALID;;;;INVALID;;;;;
14094;1000003749714333400;63731540335828;(-0.096, -0.598, 0.015);(353.947, 37.373, 1.094);INVALID;;;INVALID;;;;INVALID;;;;;
14104;1000003749814715100;63731540335930;(-0.096, -0.598, 0.015);(353.940, 37.367, 1.109);INVALID;;;INVALID;;;;INVALID;;;;;
14115;1000003749924866600;63731540336047;(-0.096, -0.598, 0.015);(353.969, 37.346, 1.088);INVALID;;;INVALID;;;;INVALID;;;;;
14124;1000003750015023400;63731540336130;(-0.096, -0.598, 0.015);(353.955, 37.347, 1.085);INVALID;;;INVALID;;;;INVALID;;;;;
14135;1000003750125150900;63731540336247;(-0.096, -0.598, 0.015);(353.926, 37.348, 1.156);INVALID;;;INVALID;;;;INVALID;;;;;
14144;1000003750215431000;63731540336330;(-0.097, -0.598, 0.016);(353.918, 37.366, 1.142);INVALID;;;INVALID;;;;INVALID;;;;;
14154;1000003750315567700;63731540336430;(-0.096, -0.598, 0.016);(353.928, 37.385, 1.104);INVALID;;;INVALID;;;;INVALID;;;;;
14165;1000003750425837500;63731540336547;(-0.096, -0.598, 0.015);(353.936, 37.379, 1.104);INVALID;;;INVALID;;;;INVALID;;;;;
