UnixTimeSeconds;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusName;EmperorsRating - UnixTimeSeconds;RatingHand;CurrentRotation;CurrentHumanReadableRotation
1719411931;3366476;1000188183542290793;63855015931499;(-0.439, 0.784, 1.798);(0.035, 0.551, -0.014, 0.834);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719411931;3366496;1000188183642342218;63855015931508;(-0.439, 0.784, 1.798);(0.035, 0.551, -0.014, 0.834);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719411931;3366516;1000188183742256866;63855015931508;(-0.439, 0.784, 1.798);(0.035, 0.551, -0.014, 0.834);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719411931;3366536;1000188183842307092;63855015931508;(-0.439, 0.784, 1.798);(0.035, 0.551, -0.014, 0.834);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719411931;3366556;1000188183942366236;63855015931508;(-0.439, 0.784, 1.798);(0.035, 0.551, -0.014, 0.834);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719411931;3366576;1000188184042418928;63855015931544;(-0.439, 0.784, 1.798);(0.035, 0.551, -0.014, 0.834);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719411931;3366596;1000188184142397209;63855015931675;(-0.439, 0.784, 1.798);(0.035, 0.551, -0.014, 0.834);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719411931;3366616;1000188184242449100;63855015931757;(-0.439, 0.784, 1.798);(0.035, 0.551, -0.014, 0.834);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719411931;3366635;1000188184337503964;63855015931845;(-0.439, 0.784, 1.798);(0.035, 0.551, -0.014, 0.833);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
1719411931;3366655;1000188184437558368;63855015931935;(-0.439, 0.785, 1.798);(0.035, 0.551, -0.014, 0.834);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL;0;Right;(0.000, 0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
