Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2161294;1000010866293797652;63851479153110;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161306;1000010866395813500;63851479153110;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161334;1000010866503019100;63851479153110;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161354;1000010866598406556;63851479153110;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161374;1000010866696106848;63851479153110;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161394;1000010866795037889;63851479153190;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161414;1000010866894508281;63851479153268;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161434;1000010866994244014;63851479153546;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161454;1000010867094130981;63851479153546;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161474;1000010867194027131;63851479153758;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.012, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161494;1000010867293928923;63851479153758;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.012, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161514;1000010867393838685;63851479153758;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.012, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161534;1000010867493761843;63851479153969;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161554;1000010867593690200;63851479153969;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161574;1000010867693623542;63851479154181;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161594;1000010867793569846;63851479154181;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161614;1000010867893519987;63851479154555;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161634;1000010867993473629;63851479154556;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161654;1000010868093430462;63851479154556;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161674;1000010868193399488;63851479154556;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161694;1000010868293370889;63851479154660;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2161714;1000010868393344581;63851479154771;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.551);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
