Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
1927089;1000009694804530808;63851477981629;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1927108;1000009694899616744;63851477981629;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1927129;1000009695006446467;63851477981629;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1927149;1000009695105895788;63851477981629;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1927169;1000009695205587190;63851477981629;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1927189;1000009695305421763;63851477981730;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1927209;1000009695405440970;63851477981897;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1927229;1000009695505464186;63851477981897;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1927249;1000009695605544182;63851477982108;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1927269;1000009695705492110;63851477982108;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1927289;1000009695805513080;63851477982320;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1927309;1000009695905537801;63851477982320;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1927329;1000009696005552820;63851477982530;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1927349;1000009696105568879;63851477982530;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
