Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusName
421249;1000095922797274815;63853880419284;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421269;1000095922897318305;63853880419373;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421289;1000095922997358434;63853880419484;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421309;1000095923097396706;63853880419594;(-0.305, 0.826, 0.361);(0.032, -0.047, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421329;1000095923197432020;63853880419683;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421349;1000095923297474291;63853880419773;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421369;1000095923397513236;63853880419885;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421389;1000095923497550309;63853880419974;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421409;1000095923597592768;63853880420085;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421429;1000095923697633134;63853880420174;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421449;1000095923797670924;63853880420286;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421469;1000095923897715365;63853880420374;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421489;1000095923997755865;63853880420484;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421509;1000095924097794055;63853880420575;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421529;1000095924197829728;63853880420686;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421549;1000095924297872166;63853880420774;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421569;1000095924397911347;63853880420886;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421589;1000095924497949773;63853880420975;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421609;1000095924597992603;63853880421085;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421629;1000095924698032913;63853880421175;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421649;1000095924798070551;63853880421287;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
421669;1000095924898106392;63853880421376;(-0.305, 0.826, 0.361);(0.033, -0.048, -0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
