Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusName
269133;1000098207315577639;63853882704290;(-0.362, 0.825, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269153;1000098207415617904;63853882704290;(-0.362, 0.825, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269173;1000098207517189441;63853882704290;(-0.362, 0.825, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269192;1000098207612384336;63853882704290;(-0.362, 0.825, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269212;1000098207712084359;63853882704290;(-0.362, 0.825, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269232;1000098207811936379;63853882704405;(-0.362, 0.824, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269252;1000098207911939663;63853882704405;(-0.362, 0.824, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269272;1000098208011970145;63853882704514;(-0.362, 0.824, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269292;1000098208111432713;63853882704725;(-0.362, 0.824, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269312;1000098208211459928;63853882704725;(-0.362, 0.824, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269332;1000098208311492943;63853882705149;(-0.362, 0.824, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269352;1000098208411525382;63853882705149;(-0.362, 0.824, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269372;1000098208511557599;63853882705149;(-0.362, 0.824, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269392;1000098208611589820;63853882705149;(-0.362, 0.824, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269412;1000098208711620538;63853882705361;(-0.362, 0.824, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269432;1000098208811650963;63853882705361;(-0.362, 0.824, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269452;1000098208911686389;63853882705574;(-0.362, 0.824, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269472;1000098209011722226;63853882705574;(-0.362, 0.824, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269492;1000098209111752238;63853882705786;(-0.362, 0.824, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
269512;1000098209211547696;63853882705786;(-0.362, 0.824, 0.381);(0.021, -0.329, -0.001, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
