Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusName
1146;1000092001264383328;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.603, 0.634, 0.485);(0.000, 0.000, 0.000);70.800;VALID;(-0.603, 0.634, 0.485);(-0.035, 0.000, 0.000);0.000;0.000;11.739;INVALID;;;;;;2;0;NULL
1147;1000092001269383728;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.503, 0.748, 0.434);(0.000, 0.000, 0.000);70.800;VALID;(-0.503, 0.748, 0.434);(-0.035, 0.000, 0.000);0.754;8.854;11.739;INVALID;;;;;;2;0;NULL
1148;1000092001274383992;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
1149;1000092001279393067;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
1150;1000092001284400382;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
1151;1000092001289405979;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.444, 0.766, 0.464);(0.000, 0.000, 0.000);70.800;VALID;(-0.444, 0.766, 0.464);(-0.035, 0.000, 0.000);0.749;8.795;11.739;INVALID;;;;;;2;0;NULL
1152;1000092001294405832;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.395, 0.759, 0.518);(0.000, 0.000, 0.000);70.800;VALID;(-0.395, 0.759, 0.518);(-0.035, 0.000, 0.000);0.000;0.000;11.739;INVALID;;;;;;2;0;NULL
1153;1000092001299405822;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.335, 0.767, 0.548);(0.000, 0.000, 0.000);70.800;VALID;(-0.335, 0.767, 0.548);(-0.035, 0.000, 0.000);0.000;0.000;11.739;INVALID;;;;;;2;0;NULL
1154;1000092001304405946;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.309, 0.771, 0.556);(0.000, 0.000, 0.000);70.800;VALID;(-0.309, 0.771, 0.556);(-0.035, 0.000, 0.000);0.000;0.000;11.739;INVALID;;;;;;2;0;NULL
1155;1000092001309406205;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
1156;1000092001314406598;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.396, 0.732, 0.555);(0.000, 0.000, 0.000);70.800;VALID;(-0.396, 0.732, 0.555);(-0.035, 0.000, 0.000);0.794;9.315;11.739;INVALID;;;;;;2;0;NULL
1157;1000092001319407126;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
1158;1000092001324407788;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.402, 0.754, 0.519);(0.000, 0.000, 0.000);70.800;VALID;(-0.402, 0.754, 0.519);(-0.035, 0.000, 0.000);0.763;8.959;11.739;INVALID;;;;;;2;0;NULL
1159;1000092001329408448;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.383, 0.787, 0.485);(0.000, 0.000, 0.000);70.800;VALID;(-0.383, 0.787, 0.485);(-0.035, 0.000, 0.000);0.763;8.961;11.739;INVALID;;;;;;2;0;NULL
1160;1000092001334409107;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.378, 0.801, 0.464);(0.000, 0.000, 0.000);70.800;VALID;(-0.378, 0.801, 0.464);(-0.035, 0.000, 0.000);0.764;8.974;11.739;INVALID;;;;;;2;0;NULL
1161;1000092001339409764;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
1162;1000092001344410338;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
1163;1000092001349410775;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
1164;1000092001354421308;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
1165;1000092001359430015;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
1166;1000092001364436960;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
1167;1000092001369442206;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
1168;1000092001374442082;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
1169;1000092001379442094;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
1170;1000092001384442243;63853876498236;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
