Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
1954058;1000009829701818919;63851478116528;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954078;1000009829803104715;63851478116528;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954098;1000009829903558580;63851478116528;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954118;1000009830002973511;63851478116528;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954138;1000009830103026157;63851478116528;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954158;1000009830203066576;63851478116674;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954178;1000009830302797633;63851478116674;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954198;1000009830402807218;63851478116777;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954218;1000009830502863912;63851478117012;(-0.498, 0.827, 0.227);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954238;1000009830602680205;63851478117012;(-0.498, 0.827, 0.227);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954258;1000009830702655693;63851478117201;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954278;1000009830802725531;63851478117201;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954298;1000009830902784463;63851478117413;(-0.498, 0.827, 0.227);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954318;1000009831002752532;63851478117413;(-0.498, 0.827, 0.227);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954338;1000009831102747545;63851478117627;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954358;1000009831202816699;63851478117627;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954378;1000009831302812053;63851478117835;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954398;1000009831402810097;63851478117835;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954418;1000009831502880173;63851478118045;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954438;1000009831602948314;63851478118045;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954458;1000009831702948323;63851478118258;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954478;1000009831802951008;63851478118258;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954498;1000009831903020053;63851478118471;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954518;1000009832003019827;63851478118471;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954538;1000009832103029593;63851478118471;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954558;1000009832203042126;63851478118826;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954578;1000009832303114977;63851478118826;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954598;1000009832403119842;63851478118826;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954618;1000009832503204156;63851478118895;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1954638;1000009832603284118;63851478118995;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.014, -0.489);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
