Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
429705;1000949099060612720;63852428980177;(-0.547, 0.827, 0.299);(-0.001, 0.900, 0.003, -0.435);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
429724;1000949099155622867;63852428980177;(-0.547, 0.827, 0.299);(-0.001, 0.900, 0.003, -0.435);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
429745;1000949099260957698;63852428980177;(-0.547, 0.827, 0.299);(-0.001, 0.900, 0.003, -0.435);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
429765;1000949099361042744;63852428980177;(-0.547, 0.827, 0.299);(-0.001, 0.900, 0.003, -0.435);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
429785;1000949099461113671;63852428980177;(-0.547, 0.827, 0.299);(-0.001, 0.900, 0.003, -0.435);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
429805;1000949099561113618;63852428980270;(-0.547, 0.827, 0.299);(-0.001, 0.901, 0.003, -0.435);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
429825;1000949099661125247;63852428980335;(-0.547, 0.827, 0.299);(-0.001, 0.900, 0.003, -0.435);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
429845;1000949099761207842;63852428980613;(-0.547, 0.827, 0.299);(-0.001, 0.900, 0.003, -0.435);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
429865;1000949099861213468;63852428980613;(-0.547, 0.827, 0.299);(-0.001, 0.900, 0.003, -0.435);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
429885;1000949099961222136;63852428980836;(-0.547, 0.827, 0.299);(-0.001, 0.900, 0.003, -0.435);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
429905;1000949100061237154;63852428980836;(-0.547, 0.827, 0.299);(-0.001, 0.900, 0.003, -0.435);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
429924;1000949100156316292;63852428980836;(-0.547, 0.827, 0.299);(-0.001, 0.900, 0.003, -0.435);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
