Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
390478;1000948902848785550;63852428784009;(0.008, 1.309, -0.017);(-0.056, -0.139, -0.011, 0.989);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
390479;1000948902853787903;63852428784009;(0.008, 1.309, -0.017);(-0.056, -0.139, -0.011, 0.989);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
390480;1000948902858790248;63852428784009;(0.008, 1.309, -0.017);(-0.056, -0.139, -0.011, 0.989);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
390481;1000948902863792584;63852428784009;(0.008, 1.309, -0.017);(-0.056, -0.139, -0.011, 0.989);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
390482;1000948902868794913;63852428784009;(0.008, 1.309, -0.017);(-0.056, -0.139, -0.011, 0.989);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
390484;1000948902878799520;63852428784009;(0.008, 1.309, -0.017);(-0.056, -0.139, -0.011, 0.989);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
390485;1000948902883801663;63852428784009;(0.008, 1.309, -0.017);(-0.056, -0.139, -0.011, 0.989);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
390486;1000948902888803664;63852428784009;(0.008, 1.309, -0.017);(-0.056, -0.139, -0.011, 0.989);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
390487;1000948902893805524;63852428784009;(0.008, 1.309, -0.017);(-0.056, -0.139, -0.011, 0.989);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
390488;1000948902898807379;63852428784009;(0.008, 1.309, -0.017);(-0.056, -0.139, -0.011, 0.989);VALID;(0.865, 0.395, 0.308);(0.000, 0.000, 0.000);0.000;INVALID;;;;;;VALID;(0.937, 0.254, 0.242);(0.035, 0.000, 0.000);0.000;7.392;0.000;2;0;NULL
390489;1000948902903809229;63852428784010;(0.008, 1.309, -0.017);(-0.056, -0.139, -0.011, 0.989);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
390490;1000948902908800282;63852428784010;(0.008, 1.309, -0.017);(-0.056, -0.139, -0.011, 0.989);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
390491;1000948902913793117;63852428784010;(0.008, 1.309, -0.017);(-0.056, -0.139, -0.011, 0.989);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
