Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2199979;1000011059792228569;63851479346631;(-0.379, 0.825, 0.398);(0.016, -0.833, 0.012, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2199987;1000011059885858300;63851479346631;(-0.379, 0.825, 0.398);(0.016, -0.833, 0.012, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200019;1000011060003315900;63851479346631;(-0.379, 0.825, 0.398);(0.016, -0.833, 0.012, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200039;1000011060098668651;63851479346631;(-0.379, 0.825, 0.398);(0.016, -0.833, 0.012, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200059;1000011060196354430;63851479346631;(-0.379, 0.825, 0.398);(0.016, -0.833, 0.012, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200079;1000011060295271303;63851479346753;(-0.379, 0.825, 0.398);(0.016, -0.833, 0.013, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200099;1000011060394737678;63851479346806;(-0.379, 0.825, 0.398);(0.016, -0.833, 0.013, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200119;1000011060494484892;63851479347050;(-0.379, 0.826, 0.398);(0.016, -0.833, 0.013, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200139;1000011060594343506;63851479347050;(-0.379, 0.826, 0.398);(0.016, -0.833, 0.013, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200159;1000011060694214012;63851479347261;(-0.379, 0.825, 0.398);(0.016, -0.832, 0.013, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200179;1000011060794091134;63851479347261;(-0.379, 0.825, 0.398);(0.016, -0.832, 0.013, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200199;1000011060893985699;63851479347261;(-0.379, 0.825, 0.398);(0.016, -0.832, 0.013, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200219;1000011060993886816;63851479347473;(-0.379, 0.825, 0.398);(0.016, -0.832, 0.013, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200239;1000011061093794695;63851479347473;(-0.379, 0.825, 0.398);(0.016, -0.832, 0.013, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200259;1000011061193708784;63851479347685;(-0.379, 0.825, 0.398);(0.016, -0.832, 0.013, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200279;1000011061293637078;63851479347685;(-0.379, 0.825, 0.398);(0.016, -0.832, 0.013, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200299;1000011061393570402;63851479347897;(-0.379, 0.825, 0.398);(0.016, -0.832, 0.012, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200319;1000011061493508345;63851479347897;(-0.379, 0.825, 0.398);(0.016, -0.832, 0.012, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200339;1000011061593459002;63851479348109;(-0.379, 0.825, 0.398);(0.016, -0.832, 0.012, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200359;1000011061693413064;63851479348109;(-0.379, 0.825, 0.398);(0.016, -0.832, 0.012, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2200379;1000011061793370417;63851479348320;(-0.379, 0.825, 0.398);(0.016, -0.833, 0.012, 0.554);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
