Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
170038;1000947800223853653;63852427681360;(-0.591, 0.827, 0.301);(0.002, 0.881, 0.000, -0.473);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170057;1000947800318895222;63852427681360;(-0.591, 0.827, 0.301);(0.002, 0.881, 0.000, -0.473);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170077;1000947800418937147;63852427681360;(-0.591, 0.827, 0.301);(0.002, 0.881, 0.000, -0.473);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170097;1000947800518975936;63852427681360;(-0.591, 0.827, 0.301);(0.002, 0.881, 0.000, -0.473);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170117;1000947800619011304;63852427681360;(-0.591, 0.827, 0.301);(0.002, 0.881, 0.000, -0.473);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170137;1000947800719052975;63852427681454;(-0.591, 0.827, 0.302);(0.001, 0.881, 0.000, -0.473);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170157;1000947800819093697;63852427681484;(-0.590, 0.827, 0.302);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170177;1000947800919130849;63852427681584;(-0.591, 0.827, 0.301);(0.002, 0.881, 0.000, -0.473);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170197;1000947801019164937;63852427681794;(-0.591, 0.827, 0.301);(0.002, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170217;1000947801119205950;63852427681794;(-0.591, 0.827, 0.301);(0.002, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170237;1000947801219243453;63852427682007;(-0.591, 0.827, 0.301);(0.002, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170257;1000947801319278592;63852427682007;(-0.591, 0.827, 0.301);(0.002, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170277;1000947801419319796;63852427682217;(-0.591, 0.828, 0.301);(0.002, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170297;1000947801519358502;63852427682217;(-0.591, 0.828, 0.301);(0.002, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170317;1000947801619395479;63852427682429;(-0.591, 0.827, 0.301);(0.002, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170337;1000947801719438137;63852427682429;(-0.591, 0.827, 0.301);(0.002, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170357;1000947801819477891;63852427682649;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170377;1000947801919515104;63852427682649;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170397;1000947802019550005;63852427682860;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170417;1000947802119591014;63852427682860;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170437;1000947802219630716;63852427683226;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170457;1000947802319667699;63852427683226;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170477;1000947802419709954;63852427683226;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170497;1000947802519749352;63852427683226;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170517;1000947802619787559;63852427683285;(-0.591, 0.828, 0.302);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170537;1000947802719823341;63852427683417;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170557;1000947802819864200;63852427683506;(-0.590, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170577;1000947802919903120;63852427683596;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170597;1000947803019939574;63852427683685;(-0.591, 0.827, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170617;1000947803119983257;63852427683803;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170637;1000947803220023124;63852427683901;(-0.591, 0.827, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170657;1000947803320060362;63852427684001;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170677;1000947803420095809;63852427684191;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170697;1000947803520136671;63852427684191;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170717;1000947803620174984;63852427684287;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170737;1000947803720210945;63852427684394;(-0.591, 0.827, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170757;1000947803820252574;63852427684514;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170777;1000947803920293666;63852427684586;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170797;1000947804020330144;63852427684718;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170817;1000947804120373602;63852427684853;(-0.590, 0.827, 0.302);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170837;1000947804220413446;63852427684935;(-0.590, 0.827, 0.302);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170857;1000947804320452745;63852427684989;(-0.590, 0.827, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170877;1000947804420488783;63852427685102;(-0.591, 0.827, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170897;1000947804520532774;63852427685188;(-0.591, 0.827, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170917;1000947804620572466;63852427685326;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170937;1000947804720608811;63852427685414;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170957;1000947804820652218;63852427685506;(-0.591, 0.827, 0.301);(0.001, 0.881, -0.001, -0.473);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170977;1000947804920692483;63852427685594;(-0.591, 0.827, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
170997;1000947805020731639;63852427685686;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
171017;1000947805120766305;63852427685824;(-0.591, 0.827, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
171037;1000947805220807214;63852427685909;(-0.591, 0.827, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
171057;1000947805320846234;63852427685996;(-0.591, 0.827, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
171077;1000947805420882440;63852427686084;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
171097;1000947805520924613;63852427686196;(-0.591, 0.827, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
171117;1000947805620964457;63852427686308;(-0.590, 0.827, 0.302);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
171137;1000947805721001003;63852427686418;(-0.591, 0.827, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
171157;1000947805821044169;63852427686528;(-0.591, 0.827, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
171177;1000947805921084846;63852427686586;(-0.591, 0.827, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
171197;1000947806021123188;63852427686698;(-0.591, 0.828, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
171217;1000947806121158688;63852427686805;(-0.591, 0.828, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
171237;1000947806221200014;63852427686917;(-0.591, 0.827, 0.301);(0.001, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
171257;1000947806321239343;63852427687028;(-0.591, 0.827, 0.301);(0.001, 0.881, -0.001, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
171277;1000947806421276540;63852427687083;(-0.590, 0.827, 0.301);(0.002, 0.881, 0.000, -0.474);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
