Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
139;1000950853827895042;63852430734943;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.033, -0.017, 0.999);(0.000, 0.000, 0.000);0.000;VALID;(0.001, -0.017, 1.000);(-0.035, 0.000, 0.000);0.000;0.000;0.000;VALID;(-0.066, -0.017, 0.998);(0.035, 0.000, 0.000);0.000;0.000;0.000;1.059011;1;NULL
159;1000950853927908723;63852430734943;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.033, -0.017, 0.999);(0.000, 0.000, 0.000);0.000;VALID;(0.001, -0.017, 1.000);(-0.035, 0.000, 0.000);0.000;0.000;0.000;VALID;(-0.066, -0.017, 0.998);(0.035, 0.000, 0.000);0.000;0.000;0.000;1.059011;1;NULL
160;1000950853932909405;63852430734943;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.033, -0.017, 0.999);(0.000, 0.000, 0.000);0.000;VALID;(0.001, -0.017, 1.000);(-0.035, 0.000, 0.000);0.000;0.000;0.000;VALID;(-0.066, -0.017, 0.998);(0.035, 0.000, 0.000);0.000;0.000;0.000;1.059011;1;NULL
161;1000950853937910085;63852430734943;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.033, -0.017, 0.999);(0.000, 0.000, 0.000);0.000;VALID;(0.001, -0.017, 1.000);(-0.035, 0.000, 0.000);0.000;0.000;0.000;VALID;(-0.066, -0.017, 0.998);(0.035, 0.000, 0.000);0.000;0.000;0.000;1.059011;1;NULL
162;1000950853942910820;63852430734943;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.033, -0.017, 0.999);(0.000, 0.000, 0.000);0.000;VALID;(0.001, -0.017, 1.000);(-0.035, 0.000, 0.000);0.000;0.000;0.000;VALID;(-0.066, -0.017, 0.998);(0.035, 0.000, 0.000);0.000;0.000;0.000;1.059011;1;NULL
163;1000950853947911523;63852430734943;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.033, -0.017, 0.999);(0.000, 0.000, 0.000);0.000;VALID;(0.001, -0.017, 1.000);(-0.035, 0.000, 0.000);0.000;0.000;0.000;VALID;(-0.066, -0.017, 0.998);(0.035, 0.000, 0.000);0.000;0.000;0.000;1.059011;1;NULL
164;1000950853952912205;63852430734943;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.033, -0.017, 0.999);(0.000, 0.000, 0.000);0.000;VALID;(0.001, -0.017, 1.000);(-0.035, 0.000, 0.000);0.000;0.000;0.000;VALID;(-0.066, -0.017, 0.998);(0.035, 0.000, 0.000);0.000;0.000;0.000;1.059011;1;NULL
165;1000950853957912883;63852430734943;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.033, -0.017, 0.999);(0.000, 0.000, 0.000);0.000;VALID;(0.001, -0.017, 1.000);(-0.035, 0.000, 0.000);0.000;0.000;0.000;VALID;(-0.066, -0.017, 0.998);(0.035, 0.000, 0.000);0.000;0.000;0.000;1.059011;1;NULL
166;1000950853962913555;63852430734943;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.033, -0.017, 0.999);(0.000, 0.000, 0.000);0.000;VALID;(0.001, -0.017, 1.000);(-0.035, 0.000, 0.000);0.000;0.000;0.000;VALID;(-0.066, -0.017, 0.998);(0.035, 0.000, 0.000);0.000;0.000;0.000;1.059011;1;NULL
167;1000950853967914226;63852430734943;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.033, -0.017, 0.999);(0.000, 0.000, 0.000);0.000;VALID;(0.001, -0.017, 1.000);(-0.035, 0.000, 0.000);0.000;0.000;0.000;VALID;(-0.066, -0.017, 0.998);(0.035, 0.000, 0.000);0.000;0.000;0.000;1.059011;1;NULL
