FrameVarjo;UnityFrame;ExperimentTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
315834;1;0;(-2.522, 1.300, -149.071);(359.979, 0.019, 0.057);INVALID;;;INVALID;;;;INVALID;;;;;
315845;2;0.02;(-2.522, 1.300, -149.071);(359.979, 0.019, 0.057);INVALID;;;INVALID;;;;INVALID;;;;;
315854;2;0.02;(-2.522, 1.300, -149.071);(359.979, 0.019, 0.057);INVALID;;;INVALID;;;;INVALID;;;;;
315863;4;0.3733333;(-2.522, 1.301, -149.070);(359.625, 0.168, 0.099);INVALID;;;INVALID;;;;INVALID;;;;;
315874;4;0.3733333;(-2.522, 1.301, -149.070);(359.625, 0.168, 0.099);INVALID;;;INVALID;;;;INVALID;;;;;
315884;4;0.3733333;(-2.522, 1.301, -149.070);(359.625, 0.168, 0.099);INVALID;;;INVALID;;;;INVALID;;;;;
315895;4;0.3733333;(-2.522, 1.301, -149.070);(359.625, 0.168, 0.099);INVALID;;;INVALID;;;;INVALID;;;;;
315904;4;0.3733333;(-2.522, 1.301, -149.070);(359.625, 0.168, 0.099);INVALID;;;INVALID;;;;INVALID;;;;;
315913;4;0.3733333;(-2.522, 1.301, -149.070);(359.625, 0.168, 0.099);INVALID;;;INVALID;;;;INVALID;;;;;
315924;4;0.3733333;(-2.522, 1.301, -149.070);(359.625, 0.168, 0.099);INVALID;;;INVALID;;;;INVALID;;;;;
315934;4;0.3733333;(-2.522, 1.301, -149.070);(359.625, 0.168, 0.099);INVALID;;;INVALID;;;;INVALID;;;;;
315945;4;0.3733333;(-2.522, 1.301, -149.070);(359.625, 0.168, 0.099);INVALID;;;INVALID;;;;INVALID;;;;;
315954;4;0.3733333;(-2.522, 1.301, -149.070);(359.625, 0.168, 0.099);INVALID;;;INVALID;;;;INVALID;;;;;
315963;4;0.3733333;(-2.522, 1.301, -149.070);(359.625, 0.168, 0.099);INVALID;;;INVALID;;;;INVALID;;;;;
315974;5;0.5090239;(-2.523, 1.300, -149.071);(359.621, 0.278, 0.078);INVALID;;;INVALID;;;;INVALID;;;;;
315984;5;0.5090239;(-2.523, 1.300, -149.071);(359.621, 0.278, 0.078);INVALID;;;INVALID;;;;INVALID;;;;;
315994;6;0.6520601;(-2.523, 1.300, -149.072);(359.600, 0.327, 0.092);INVALID;;;INVALID;;;;INVALID;;;;;
316004;8;0.9393543;(-2.523, 1.300, -149.072);(359.621, 0.328, 0.122);INVALID;;;INVALID;;;;INVALID;;;;;
316013;10;1.049832;(-2.523, 1.300, -149.072);(359.602, 0.379, 0.112);INVALID;;;INVALID;;;;INVALID;;;;;
316024;13;1.168149;(-2.523, 1.300, -149.072);(359.575, 0.387, 0.113);INVALID;;;INVALID;;;;INVALID;;;;;
316033;15;1.248021;(-2.523, 1.300, -149.072);(359.582, 0.403, 0.118);INVALID;;;INVALID;;;;INVALID;;;;;
316044;18;1.377005;(-2.524, 1.300, -149.072);(359.580, 0.443, 0.115);INVALID;;;INVALID;;;;INVALID;;;;;
