Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
103969;1000003348380921722;63851483230173;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
103986;1000003348487590700;63851483230173;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104009;1000003348590041500;63851483230173;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104029;1000003348685492761;63851483230173;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104049;1000003348783290255;63851483230173;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104069;1000003348882294282;63851483230257;(-0.418, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104089;1000003348981709220;63851483230353;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104109;1000003349081474307;63851483230565;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104129;1000003349181361044;63851483230565;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104149;1000003349281307339;63851483230777;(-0.417, 0.823, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104169;1000003349381257881;63851483230777;(-0.417, 0.823, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104189;1000003349481220293;63851483230988;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104209;1000003349581185490;63851483230988;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104229;1000003349681153312;63851483231200;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104249;1000003349781131653;63851483231200;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104269;1000003349881111793;63851483231413;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104289;1000003349981093263;63851483231413;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104309;1000003350081084639;63851483231623;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104329;1000003350181076693;63851483231623;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104349;1000003350281069694;63851483231843;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104369;1000003350381063057;63851483231843;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104389;1000003350481065938;63851483232055;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104409;1000003350581068278;63851483232055;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104429;1000003350681071098;63851483232055;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104449;1000003350781081818;63851483232417;(-0.418, 0.822, 0.394);(-0.029, -0.346, -0.020, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104469;1000003350881091974;63851483232417;(-0.418, 0.822, 0.394);(-0.029, -0.346, -0.020, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104489;1000003350981101839;63851483232417;(-0.418, 0.822, 0.394);(-0.029, -0.346, -0.020, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104509;1000003351081111331;63851483232479;(-0.418, 0.822, 0.394);(-0.029, -0.346, -0.020, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104529;1000003351181129415;63851483232577;(-0.418, 0.822, 0.394);(-0.029, -0.346, -0.020, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104549;1000003351281145679;63851483232664;(-0.418, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104569;1000003351381161088;63851483232754;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.020, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104589;1000003351481185859;63851483232888;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104609;1000003351581208141;63851483232991;(-0.417, 0.823, 0.394);(-0.029, -0.346, -0.020, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104629;1000003351681228677;63851483233068;(-0.418, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104649;1000003351781248072;63851483233170;(-0.418, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104669;1000003351881278584;63851483233269;(-0.418, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104689;1000003351981303048;63851483233369;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104709;1000003352081326456;63851483233468;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.937);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104729;1000003352181356741;63851483233568;(-0.417, 0.823, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104749;1000003352281385233;63851483233668;(-0.417, 0.823, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104769;1000003352381411696;63851483233771;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104789;1000003352481444965;63851483233871;(-0.417, 0.822, 0.395);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104809;1000003352581477399;63851483233971;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104829;1000003352681506818;63851483234069;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104849;1000003352781535244;63851483234172;(-0.418, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104869;1000003352881571845;63851483234261;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104889;1000003352981604830;63851483234349;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
104909;1000003353081635599;63851483234461;(-0.417, 0.822, 0.394);(-0.029, -0.346, -0.019, 0.938);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
