Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusName
26343;1000092199244606052;63853876696144;(-0.295, 0.824, 0.389);(0.028, -0.164, 0.000, 0.986);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
26363;1000092199358583300;63853876696144;(-0.295, 0.824, 0.389);(0.028, -0.164, 0.000, 0.986);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
26383;1000092199452384300;63853876696144;(-0.295, 0.824, 0.389);(0.028, -0.164, 0.000, 0.986);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
26403;1000092199549291981;63853876696144;(-0.295, 0.824, 0.389);(0.028, -0.164, 0.000, 0.986);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
26423;1000092199647811787;63853876696144;(-0.295, 0.824, 0.389);(0.028, -0.164, 0.000, 0.986);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
26443;1000092199747077661;63853876696236;(-0.295, 0.824, 0.389);(0.028, -0.164, 0.000, 0.986);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
26463;1000092199846710470;63853876696333;(-0.295, 0.824, 0.389);(0.028, -0.164, 0.000, 0.986);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
26483;1000092199946538231;63853876696612;(-0.295, 0.823, 0.389);(0.028, -0.164, 0.000, 0.986);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
26503;1000092200046512026;63853876696612;(-0.295, 0.823, 0.389);(0.028, -0.164, 0.000, 0.986);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
26523;1000092200146486860;63853876696824;(-0.295, 0.824, 0.389);(0.028, -0.164, 0.000, 0.986);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
