Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
10952;1000949825343352612;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(0.043, -0.073, 0.996);(0.000, 0.000, 0.000);71.275;INVALID;;;;;;VALID;(0.043, -0.073, 0.996);(0.035, 0.000, 0.000);0.000;4.696;0.000;2;0;NULL
10953;1000949825348353912;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(0.044, -0.075, 0.996);(0.000, 0.000, 0.000);71.275;INVALID;;;;;;VALID;(0.043, -0.075, 0.996);(0.035, 0.000, 0.000);0.000;4.723;0.000;2;0;NULL
10954;1000949825353355210;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(0.044, -0.075, 0.996);(0.000, 0.000, 0.000);71.275;INVALID;;;;;;VALID;(0.043, -0.076, 0.996);(0.035, 0.000, 0.000);0.000;4.763;0.000;2;0;NULL
10955;1000949825358356505;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(0.035, -0.085, 0.996);(0.000, 0.000, 0.000);71.275;VALID;(-0.050, -0.114, 0.992);(-0.035, 0.000, 0.000);0.000;10.668;0.000;VALID;(0.034, -0.085, 0.996);(0.035, 0.000, 0.000);0.000;4.783;0.000;2;0;NULL
10956;1000949825363357796;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(0.021, -0.093, 0.995);(0.000, 0.000, 0.000);71.275;VALID;(-0.050, -0.116, 0.992);(-0.035, 0.000, 0.000);0.000;10.647;0.000;VALID;(0.020, -0.093, 0.995);(0.035, 0.000, 0.000);0.000;4.795;0.000;2;0;NULL
10957;1000949825368359138;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(0.007, -0.098, 0.995);(0.000, 0.000, 0.000);71.275;VALID;(0.027, -0.016, 1.000);(-0.035, 0.000, 0.000);0.000;10.637;0.000;VALID;(0.007, -0.098, 0.995);(0.035, 0.000, 0.000);0.000;4.800;0.000;0.2003229;0;NULL
10958;1000949825373360611;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(0.001, -0.108, 0.994);(0.000, 0.000, 0.000);71.275;VALID;(0.023, -0.020, 1.000);(-0.035, 0.000, 0.000);0.000;9.017;0.000;VALID;(0.000, -0.108, 0.994);(0.035, 0.000, 0.000);0.000;4.802;0.000;0.1904284;0;NULL
10959;1000949825378362214;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(-0.003, -0.114, 0.994);(0.000, 0.000, 0.000);71.275;VALID;(0.018, -0.036, 0.999);(-0.035, 0.000, 0.000);0.000;8.986;0.000;VALID;(-0.004, -0.114, 0.994);(0.035, 0.000, 0.000);0.000;4.803;0.000;0.2274079;0;NULL
10960;1000949825383363947;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(-0.006, -0.118, 0.993);(0.000, 0.000, 0.000);71.275;VALID;(0.012, -0.056, 0.998);(-0.035, 0.000, 0.000);0.000;8.991;0.000;VALID;(-0.006, -0.118, 0.993);(0.035, 0.000, 0.000);0.000;4.804;0.000;0.315578;0;NULL
10961;1000949825388365811;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(-0.008, -0.122, 0.993);(0.000, 0.000, 0.000);71.275;VALID;(0.008, -0.076, 0.997);(-0.035, 0.000, 0.000);0.000;8.994;0.000;VALID;(-0.008, -0.122, 0.993);(0.035, 0.000, 0.000);0.000;4.804;0.000;2;0;NULL
10962;1000949825393367750;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(-0.008, -0.124, 0.992);(0.000, 0.000, 0.000);71.275;VALID;(0.005, -0.092, 0.996);(-0.035, 0.000, 0.000);0.000;9.014;0.000;VALID;(-0.009, -0.124, 0.992);(0.035, 0.000, 0.000);0.000;4.803;0.000;2;0;NULL
10963;1000949825398369682;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(-0.009, -0.127, 0.992);(0.000, 0.000, 0.000);71.275;VALID;(0.001, -0.105, 0.994);(-0.035, 0.000, 0.000);0.000;9.022;0.000;VALID;(-0.010, -0.127, 0.992);(0.035, 0.000, 0.000);0.000;4.801;0.000;2;0;NULL
10964;1000949825403371554;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(-0.009, -0.128, 0.992);(0.000, 0.000, 0.000);71.275;VALID;(0.000, -0.113, 0.994);(-0.035, 0.000, 0.000);0.000;9.025;0.000;VALID;(-0.009, -0.128, 0.992);(0.035, 0.000, 0.000);0.000;4.798;0.000;2;0;NULL
10965;1000949825408373312;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(-0.009, -0.129, 0.992);(0.000, 0.000, 0.000);71.275;VALID;(-0.001, -0.119, 0.993);(-0.035, 0.000, 0.000);0.000;9.037;0.000;VALID;(-0.009, -0.129, 0.992);(0.035, 0.000, 0.000);0.000;4.792;0.000;2;0;NULL
10966;1000949825413374929;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(-0.009, -0.131, 0.991);(0.000, 0.000, 0.000);71.275;VALID;(-0.003, -0.124, 0.992);(-0.035, 0.000, 0.000);0.000;9.045;0.000;VALID;(-0.009, -0.131, 0.991);(0.035, 0.000, 0.000);0.000;4.784;0.000;2;0;NULL
10967;1000949825418379840;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(-0.004, -0.134, 0.991);(0.000, 0.000, 0.000);71.275;VALID;(0.001, -0.130, 0.991);(-0.035, 0.000, 0.000);0.000;9.049;0.000;VALID;(-0.005, -0.134, 0.991);(0.035, 0.000, 0.000);0.000;4.748;0.000;2;0;NULL
10968;1000949825423381220;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(-0.001, -0.137, 0.991);(0.000, 0.000, 0.000);71.275;VALID;(0.004, -0.135, 0.991);(-0.035, 0.000, 0.000);0.000;9.036;0.000;VALID;(-0.001, -0.137, 0.991);(0.035, 0.000, 0.000);0.000;4.744;0.000;2;0;NULL
10969;1000949825428382596;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(0.001, -0.141, 0.990);(0.000, 0.000, 0.000);71.275;VALID;(0.006, -0.141, 0.990);(-0.035, 0.000, 0.000);0.000;9.015;0.000;VALID;(0.000, -0.141, 0.990);(0.035, 0.000, 0.000);0.000;4.739;0.000;2;0;NULL
10970;1000949825433383970;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(0.002, -0.148, 0.989);(0.000, 0.000, 0.000);71.275;VALID;(0.007, -0.149, 0.989);(-0.035, 0.000, 0.000);0.000;8.993;0.000;VALID;(0.002, -0.148, 0.989);(0.035, 0.000, 0.000);0.000;4.731;0.000;2;0;NULL
10971;1000949825438385339;63852429706501;(0.041, 1.299, -0.061);(0.027, -0.194, 0.005, 0.981);VALID;(0.006, -0.151, 0.988);(0.000, 0.000, 0.000);71.275;VALID;(0.009, -0.153, 0.988);(-0.035, 0.000, 0.000);0.000;8.986;0.000;VALID;(0.005, -0.151, 0.988);(0.035, 0.000, 0.000);0.000;4.724;0.000;2;0;NULL
