Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
536326;1000002766474263050;63851482648336;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536346;1000002766574297654;63851482648336;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536366;1000002766674343220;63851482648336;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536386;1000002766774381248;63851482648336;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536406;1000002766874417151;63851482648336;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536426;1000002766974458893;63851482648529;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536446;1000002767074498289;63851482648529;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536466;1000002767174536085;63851482648591;(-0.370, 0.822, 0.386);(0.003, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536486;1000002767274570513;63851482648801;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536506;1000002767374611006;63851482648801;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536526;1000002767474649015;63851482649013;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536546;1000002767574684592;63851482649013;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536566;1000002767674726506;63851482649224;(-0.370, 0.822, 0.387);(0.002, 0.890, 0.000, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536586;1000002767774765600;63851482649224;(-0.370, 0.822, 0.387);(0.002, 0.890, 0.000, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536606;1000002767874802926;63851482649436;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536626;1000002767974845642;63851482649436;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536646;1000002768074886274;63851482649647;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536666;1000002768174923656;63851482649647;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536686;1000002768274959264;63851482649647;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536706;1000002768375000598;63851482649859;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536726;1000002768475039257;63851482649859;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536746;1000002768575075682;63851482650072;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536766;1000002768675118019;63851482650072;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536786;1000002768775157708;63851482650282;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536806;1000002768875195215;63851482650282;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536826;1000002768975230284;63851482650495;(-0.370, 0.822, 0.386);(0.002, 0.890, 0.000, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536846;1000002769075271288;63851482650495;(-0.370, 0.822, 0.386);(0.002, 0.890, 0.000, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536866;1000002769175309841;63851482650854;(-0.370, 0.822, 0.386);(0.002, 0.890, 0.000, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536886;1000002769275345832;63851482650854;(-0.370, 0.822, 0.386);(0.002, 0.890, 0.000, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536906;1000002769375388132;63851482650854;(-0.370, 0.822, 0.386);(0.002, 0.890, 0.000, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536926;1000002769475428551;63851482650854;(-0.370, 0.822, 0.386);(0.002, 0.890, 0.000, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536946;1000002769575466062;63851482650966;(-0.370, 0.822, 0.387);(0.002, 0.890, 0.000, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536966;1000002769675511146;63851482651063;(-0.370, 0.822, 0.386);(0.002, 0.890, 0.000, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
536986;1000002769775552053;63851482651142;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537006;1000002769875590100;63851482651299;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537026;1000002769975628130;63851482651352;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537046;1000002770075669795;63851482651450;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537066;1000002770175708756;63851482651561;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537086;1000002770275745216;63851482651672;(-0.370, 0.823, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537106;1000002770375788783;63851482651784;(-0.370, 0.823, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537126;1000002770475829132;63851482651854;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537146;1000002770575866537;63851482651966;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.456);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537166;1000002770675902281;63851482652066;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537186;1000002770775943808;63851482652166;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537206;1000002770875982842;63851482652267;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537226;1000002770976019437;63851482652369;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537246;1000002771076062046;63851482652467;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537266;1000002771176104158;63851482652568;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537286;1000002771276141575;63851482652667;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537306;1000002771376185962;63851482652769;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537326;1000002771476226694;63851482652868;(-0.370, 0.822, 0.386);(0.003, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537346;1000002771576264846;63851482652968;(-0.370, 0.822, 0.386);(0.003, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537366;1000002771676300670;63851482653083;(-0.370, 0.822, 0.386);(0.003, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537386;1000002771776343946;63851482653289;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537406;1000002771876382992;63851482653289;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537426;1000002771976419992;63851482653374;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537446;1000002772076463649;63851482653443;(-0.370, 0.822, 0.386);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537466;1000002772176503049;63851482653597;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537486;1000002772276539911;63851482653674;(-0.370, 0.822, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
537506;1000002772376576475;63851482653753;(-0.370, 0.823, 0.387);(0.002, 0.890, -0.001, -0.455);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
