Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
766335;1000091859628762868;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766336;1000091859633766682;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(-0.116, -0.245, 0.963);(0.000, 0.000, 0.000);70.225;VALID;(-0.280, -0.456, 0.844);(-0.035, 0.000, 0.000);0.000;0.000;0.000;INVALID;;;;;;2;0;NULL
766337;1000091859638770349;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766338;1000091859643773869;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766339;1000091859648777242;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766340;1000091859653780579;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766341;1000091859658780552;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766342;1000091859663780660;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766343;1000091859668780904;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766344;1000091859673781284;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.026, -0.396, 0.918);(0.000, 0.000, 0.000);70.225;VALID;(0.470, -0.437, 0.767);(-0.035, 0.000, 0.000);0.000;4.198;0.000;INVALID;;;;;;2;0;NULL
766345;1000091859678781799;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766346;1000091859683785882;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766347;1000091859688786490;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(-0.173, -0.454, 0.874);(0.000, 0.000, 0.000);70.225;VALID;(-0.811, -0.113, 0.574);(-0.035, 0.000, 0.000);0.000;4.006;0.000;INVALID;;;;;;2;0;NULL
766348;1000091859693787096;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766349;1000091859698791161;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766350;1000091859703795212;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(-0.113, -0.314, 0.943);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.037, -0.078, 0.996);(0.035, 0.000, 0.000);0.000;3.443;0.000;2;0;NULL
766351;1000091859708799140;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(-0.083, -0.253, 0.964);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.044, -0.069, 0.997);(0.035, 0.000, 0.000);0.000;3.448;0.000;2;0;NULL
766352;1000091859713802920;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(-0.073, -0.239, 0.968);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.097, -0.010, 0.995);(0.035, 0.000, 0.000);0.000;3.566;0.000;2;0;NULL
766353;1000091859718806553;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(-0.057, -0.201, 0.978);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.078, -0.021, 0.997);(0.035, 0.000, 0.000);0.000;3.625;0.000;2;0;NULL
766354;1000091859723810038;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(-0.032, -0.150, 0.988);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.071, -0.025, 0.997);(0.035, 0.000, 0.000);0.000;3.655;0.000;2;0;NULL
766355;1000091859728813375;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(-0.004, -0.104, 0.995);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.070, -0.023, 0.997);(0.035, 0.000, 0.000);0.000;3.668;0.000;2;0;NULL
766356;1000091859733816620;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.018, -0.072, 0.997);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.069, -0.022, 0.997);(0.035, 0.000, 0.000);0.000;3.676;0.000;2;0;NULL
766357;1000091859738816533;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.035, -0.050, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.069, -0.020, 0.997);(0.035, 0.000, 0.000);0.000;3.681;0.000;2;0;NULL
766358;1000091859765716700;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.046, -0.036, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.068, -0.018, 0.997);(0.035, 0.000, 0.000);0.000;3.684;0.000;2;0;NULL
766359;1000091859770947876;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.053, -0.029, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.068, -0.018, 0.998);(0.035, 0.000, 0.000);0.000;3.685;0.000;2;0;NULL
766360;1000091859776024720;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.057, -0.025, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.068, -0.018, 0.998);(0.035, 0.000, 0.000);0.000;3.686;0.000;2;0;NULL
766361;1000091859769383678;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.060, -0.023, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.067, -0.018, 0.998);(0.035, 0.000, 0.000);0.000;3.686;0.000;2;0;NULL
766362;1000091859774120192;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.061, -0.023, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.066, -0.019, 0.998);(0.035, 0.000, 0.000);0.000;3.685;0.000;2;0;NULL
766363;1000091859778892177;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.062, -0.023, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.066, -0.021, 0.998);(0.035, 0.000, 0.000);0.000;3.685;0.000;2;0;NULL
766364;1000091859783698477;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.062, -0.025, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.065, -0.023, 0.998);(0.035, 0.000, 0.000);0.000;3.684;0.000;2;0;NULL
766365;1000091859788571040;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.062, -0.027, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.064, -0.025, 0.998);(0.035, 0.000, 0.000);0.000;3.684;0.000;2;0;NULL
766366;1000091859793458433;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.062, -0.028, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.064, -0.027, 0.998);(0.035, 0.000, 0.000);0.000;3.683;0.000;2;0;NULL
766372;1000091859822906673;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.061, -0.024, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.062, -0.024, 0.998);(0.035, 0.000, 0.000);0.000;3.683;0.000;2;0;NULL
766373;1000091859827827813;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.060, -0.023, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.061, -0.022, 0.998);(0.035, 0.000, 0.000);0.000;3.684;0.000;2;0;NULL
766374;1000091859832751656;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.060, -0.022, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.060, -0.022, 0.998);(0.035, 0.000, 0.000);0.000;3.688;0.000;2;0;NULL
766375;1000091859837678941;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.059, -0.022, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.058, -0.022, 0.998);(0.035, 0.000, 0.000);0.000;3.694;0.000;2;0;NULL
766376;1000091859842610166;63853876356602;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.057, -0.022, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.057, -0.022, 0.998);(0.035, 0.000, 0.000);0.000;3.705;0.000;2;0.03937947;NULL
766377;1000091859847545186;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.057, -0.021, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.057, -0.021, 0.998);(0.035, 0.000, 0.000);0.000;3.714;0.000;2;0.1547343;NULL
766378;1000091859852483845;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.057, -0.020, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.057, -0.020, 0.998);(0.035, 0.000, 0.000);0.000;3.728;0.000;2;0.1964472;NULL
766379;1000091859857424545;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.056, -0.021, 0.998);(0.000, 0.000, 0.000);70.225;INVALID;;;;;;VALID;(0.055, -0.021, 0.998);(0.035, 0.000, 0.000);0.000;3.747;0.000;2;0.1752409;NULL
766380;1000091859862404654;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.062, -0.017, 0.998);(0.000, 0.000, 0.000);70.225;VALID;(0.110, 0.001, 0.994);(-0.035, 0.000, 0.000);0.000;3.055;0.000;VALID;(0.058, -0.018, 0.998);(0.035, 0.000, 0.000);0.000;3.960;0.000;1.187616;0;NULL
766381;1000091859867385401;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766382;1000091859872366750;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766383;1000091859877348680;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766384;1000091859882331194;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766385;1000091859887313671;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766386;1000091859892295122;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766387;1000091859897227230;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766388;1000091859902087706;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766389;1000091859906924904;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766390;1000091859911746899;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766391;1000091859916561483;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766392;1000091859921376231;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766393;1000091859926196747;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766394;1000091859931023090;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766395;1000091859935845347;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766396;1000091859940688766;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766397;1000091859945526966;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766398;1000091859950366192;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
766399;1000091859955208828;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.414, -0.055, 0.908);(0.000, 0.000, 0.000);70.225;VALID;(0.615, -0.233, 0.753);(-0.035, 0.000, 0.000);0.000;3.746;0.000;INVALID;;;;;;2;0;NULL
766400;1000091859960055307;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.307, -0.067, 0.949);(0.000, 0.000, 0.000);70.225;VALID;(-0.343, -0.134, 0.930);(-0.035, 0.000, 0.000);0.000;0.000;0.000;INVALID;;;;;;2;0;NULL
766401;1000091859964905536;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.265, -0.066, 0.962);(0.000, 0.000, 0.000);70.225;VALID;(-0.004, -0.091, 0.996);(-0.035, 0.000, 0.000);0.000;2.891;0.000;VALID;(0.037, -0.059, 0.998);(0.035, 0.000, 0.000);0.000;3.811;0.000;2;0;NULL
766402;1000091859969759376;63853876356603;(0.077, 1.341, -0.102);(-0.178, -0.191, -0.005, 0.965);VALID;(0.249, -0.069, 0.966);(0.000, 0.000, 0.000);70.225;VALID;(0.088, -0.085, 0.993);(-0.035, 0.000, 0.000);0.000;2.889;0.000;VALID;(0.029, -0.081, 0.996);(0.035, 0.000, 0.000);0.000;3.510;0.000;1.201848;0;NULL
