Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
18765;1000947043557275821;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18766;1000947043562254372;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18767;1000947043567250062;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18768;1000947043572236344;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18769;1000947043577219752;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18770;1000947043582196386;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18771;1000947043587163436;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18772;1000947043592128542;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18773;1000947043597093762;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18774;1000947043602061611;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18775;1000947043607030539;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18776;1000947043612000512;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18777;1000947043616971489;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18778;1000947043621943422;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18779;1000947043626878897;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18780;1000947043631816577;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18781;1000947043636756369;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18782;1000947043641735628;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18783;1000947043646715594;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18784;1000947043651696246;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18785;1000947043656677569;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18786;1000947043661659538;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18787;1000947043666642125;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18788;1000947043671625312;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18789;1000947043676609957;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18790;1000947043681595122;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18791;1000947043686580794;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18792;1000947043691566956;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18793;1000947043696553594;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18794;1000947043701503571;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18795;1000947043706455554;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18796;1000947043711409187;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18797;1000947043716401820;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18798;1000947043721394705;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18799;1000947043726387832;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18800;1000947043731381196;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18801;1000947043736374790;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18802;1000947043741368609;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18803;1000947043746362638;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18804;1000947043751356883;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
18805;1000947043756351321;63852426924574;(0.045, 1.326, -0.080);(-0.092, -0.126, -0.034, 0.987);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;DrivableHatchbackCommon_DrivenPassengers(Clone)
