Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2176743;1000010943590674200;63851479230367;(-0.379, 0.826, 0.398);(0.016, -0.834, 0.013, 0.552);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2176762;1000010943690135749;63851479230367;(-0.379, 0.826, 0.398);(0.016, -0.834, 0.013, 0.552);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2176788;1000010943802981700;63851479230367;(-0.379, 0.826, 0.398);(0.016, -0.834, 0.013, 0.552);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2176808;1000010943898439440;63851479230367;(-0.379, 0.826, 0.398);(0.016, -0.834, 0.013, 0.552);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2176828;1000010943996175181;63851479230367;(-0.379, 0.826, 0.398);(0.016, -0.834, 0.013, 0.552);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2176848;1000010944095053725;63851479230459;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.552);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2176868;1000010944194496548;63851479230627;(-0.379, 0.826, 0.398);(0.016, -0.834, 0.013, 0.552);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2176888;1000010944294296176;63851479230837;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.552);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2176908;1000010944394156983;63851479230837;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.552);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2176928;1000010944494028618;63851479231049;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.552);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2176948;1000010944593915927;63851479231049;(-0.379, 0.825, 0.398);(0.015, -0.834, 0.013, 0.552);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2176968;1000010944693811975;63851479231261;(-0.379, 0.826, 0.398);(0.016, -0.834, 0.013, 0.552);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2176988;1000010944793714221;63851479231261;(-0.379, 0.826, 0.398);(0.016, -0.834, 0.013, 0.552);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2177008;1000010944893631853;63851479231261;(-0.379, 0.826, 0.398);(0.016, -0.834, 0.013, 0.552);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2177028;1000010944993554760;63851479231473;(-0.379, 0.826, 0.398);(0.016, -0.834, 0.013, 0.552);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
