FrameVarjo;UnityFrame;ExperimentTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
139396;1364;42.15073;(0.062, 1.234, -1.525);(11.441, 29.702, 2.410);VALID;(-0.165648803114891, 0.197031646966934, 0.966301739215851);(0, 0, 0);VALID;(-0.177034467458725, 0.188724622130394, 0.965940892696381);(-0.0323680005967617, 0, 0);0.184149295091629;VALID;(-0.15423022210598, 0.205299511551857, 0.96647047996521);(0.0323680005967617, 0, 0);0.195871889591217;2;0
139397;1364;42.15073;(0.062, 1.234, -1.525);(11.441, 29.702, 2.410);VALID;(-0.166415274143219, 0.198151037096977, 0.965941071510315);(0, 0, 0);VALID;(-0.17739899456501, 0.189800247550011, 0.965663194656372);(-0.0323680005967617, 0, 0);0.183269664645195;VALID;(-0.155399858951569, 0.20646408200264, 0.966034948825836);(0.0323680005967617, 0, 0);0.194766834378242;2;0
139398;1365;42.17138;(0.062, 1.234, -1.525);(11.416, 29.689, 2.411);VALID;(-0.166717827320099, 0.198960840702057, 0.965722382068634);(0, 0, 0);VALID;(-0.177467957139015, 0.190308213233948, 0.965550601482391);(-0.0323680005967617, 0, 0);0.182745635509491;VALID;(-0.155935928225517, 0.207575589418411, 0.965710282325745);(0.0323680005967617, 0, 0);0.194481328129768;2;0
139399;1365;42.17138;(0.062, 1.234, -1.525);(11.416, 29.689, 2.411);VALID;(-0.166392385959625, 0.199664369225502, 0.96563333272934);(0, 0, 0);VALID;(-0.177535191178322, 0.190954729914665, 0.965410530567169);(-0.0323680005967617, 0, 0);0.181840658187866;VALID;(-0.15521627664566, 0.208334058523178, 0.965662896633148);(0.0323680005967617, 0, 0);0.191917419433594;2;0
139400;1366;42.18994;(0.062, 1.234, -1.525);(11.409, 29.660, 2.396);VALID;(-0.165907636284828, 0.200461760163307, 0.965551495552063);(0, 0, 0);VALID;(-0.177607253193855, 0.191179484128952, 0.965352833271027);(-0.0323680005967617, 0, 0);0.18085241317749;VALID;(-0.154171004891396, 0.20969931781292, 0.965534806251526);(0.0323680005967617, 0, 0);0.190743818879128;2;0
139401;1366;42.18994;(0.062, 1.234, -1.525);(11.409, 29.660, 2.396);VALID;(-0.165984153747559, 0.200528055429459, 0.965524613857269);(0, 0, 0);VALID;(-0.177708640694618, 0.191277906298637, 0.96531468629837);(-0.0323680005967617, 0, 0);0.17998631298542;VALID;(-0.154222652316093, 0.209733471274376, 0.96551913022995);(0.0323680005967617, 0, 0);0.190172493457794;2;0
139402;1367;42.20913;(0.062, 1.234, -1.525);(11.400, 29.651, 2.401);VALID;(-0.166106447577477, 0.200439229607582, 0.965521991252899);(0, 0, 0);VALID;(-0.177640944719315, 0.191330090165138, 0.965316772460938);(-0.0323680005967617, 0, 0);0.178050622344017;VALID;(-0.154536053538322, 0.209505051374435, 0.965518653392792);(0.0323680005967617, 0, 0);0.187009930610657;2;0
139403;1367;42.20913;(0.062, 1.234, -1.525);(11.400, 29.651, 2.401);VALID;(-0.166610702872276, 0.200054123997688, 0.96551501750946);(0, 0, 0);VALID;(-0.179099753499031, 0.190235838294029, 0.965263485908508);(-0.0323680005967617, 0, 0);0.177809849381447;VALID;(-0.154079601168633, 0.209821924567223, 0.965522766113281);(0.0323680005967617, 0, 0);0.187500059604645;2;0
139404;1368;42.22926;(0.061, 1.234, -1.525);(11.403, 29.653, 2.404);VALID;(-0.166344463825226, 0.200380519032478, 0.965493202209473);(0, 0, 0);VALID;(-0.179038047790527, 0.190405994653702, 0.965241372585297);(-0.0323680005967617, 0, 0);0.17691308259964;VALID;(-0.15360751748085, 0.210302799940109, 0.965493381023407);(0.0323680005967617, 0, 0);0.184298470616341;2;0
139405;1368;42.22926;(0.061, 1.234, -1.525);(11.403, 29.653, 2.404);VALID;(-0.166296988725662, 0.200694501399994, 0.965436160564423);(0, 0, 0);VALID;(-0.178798392415047, 0.190620303153992, 0.965243518352509);(-0.0323680005967617, 0, 0);0.175557762384415;VALID;(-0.153752714395523, 0.210716962814331, 0.965379953384399);(0.0323680005967617, 0, 0);0.184582695364952;2;0
