Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
412775;1000949014377374866;63852428895535;(0.017, 1.315, -0.028);(-0.093, -0.143, -0.001, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
412776;1000949014382379150;63852428895535;(0.017, 1.315, -0.028);(-0.093, -0.143, -0.001, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
412777;1000949014387383286;63852428895535;(0.017, 1.315, -0.028);(-0.093, -0.143, -0.001, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
412778;1000949014392387274;63852428895535;(0.017, 1.315, -0.028);(-0.093, -0.143, -0.001, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
412779;1000949014397391112;63852428895535;(0.017, 1.315, -0.028);(-0.093, -0.143, -0.001, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
412780;1000949014402391476;63852428895535;(0.017, 1.315, -0.028);(-0.093, -0.143, -0.001, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
412781;1000949014407391839;63852428895535;(0.017, 1.315, -0.028);(-0.093, -0.143, -0.001, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
412782;1000949014412392228;63852428895535;(0.017, 1.315, -0.028);(-0.093, -0.143, -0.001, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
412783;1000949014417392751;63852428895535;(0.017, 1.315, -0.028);(-0.093, -0.143, -0.001, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
412784;1000949014422393407;63852428895535;(0.017, 1.315, -0.028);(-0.093, -0.143, -0.001, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
