Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
1975930;1000009939104769033;63851478225926;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.016, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1975946;1000009939186002350;63851478225926;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.016, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1975970;1000009939308132339;63851478225926;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.016, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1975990;1000009939406645464;63851478225926;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.016, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1976010;1000009939506003986;63851478225926;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.016, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1976030;1000009939606058954;63851478226011;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.016, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1976050;1000009939705704686;63851478226077;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.016, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1976070;1000009939805555092;63851478226322;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.016, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1976090;1000009939905520263;63851478226322;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.016, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1976110;1000009940005518159;63851478226536;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.016, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1976130;1000009940105518512;63851478226536;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.016, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1976150;1000009940205522346;63851478226747;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.016, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
