Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
183512;1000950688481572731;63852430569573;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183532;1000950688582633986;63852430569573;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183552;1000950688683236576;63852430569573;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183572;1000950688783166354;63852430569573;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183592;1000950688882602436;63852430569573;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183612;1000950688982422525;63852430569660;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183632;1000950689082488922;63852430569902;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183652;1000950689182540873;63852430569902;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183672;1000950689282383680;63852430570113;(-0.509, 0.827, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183692;1000950689382381891;63852430570113;(-0.509, 0.827, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183712;1000950689482448875;63852430570326;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183732;1000950689582422252;63852430570326;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183752;1000950689682418300;63852430570536;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183772;1000950689782426285;63852430570536;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183792;1000950689882500286;63852430570748;(-0.509, 0.827, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183812;1000950689982501538;63852430570748;(-0.509, 0.827, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183832;1000950690082505970;63852430570967;(-0.509, 0.827, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183852;1000950690182583150;63852430570967;(-0.509, 0.827, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183872;1000950690282589705;63852430570967;(-0.509, 0.827, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183892;1000950690382598783;63852430571180;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183912;1000950690482610453;63852430571180;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183932;1000950690582688590;63852430571389;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183952;1000950690682701842;63852430571389;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183972;1000950690782719829;63852430571598;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
183992;1000950690882738193;63852430571598;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184012;1000950690982816357;63852430571965;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184032;1000950691082834940;63852430571965;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184052;1000950691182858568;63852430571965;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184072;1000950691282943105;63852430571965;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184092;1000950691382951768;63852430572072;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184112;1000950691482973212;63852430572161;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184132;1000950691583002300;63852430572294;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184152;1000950691683087676;63852430572390;(-0.509, 0.827, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184172;1000950691783101602;63852430572458;(-0.509, 0.827, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184192;1000950691883128005;63852430572557;(-0.509, 0.827, 0.324);(0.014, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184212;1000950691983157477;63852430572658;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184232;1000950692083179403;63852430572758;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184252;1000950692183202662;63852430572859;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184272;1000950692283234501;63852430572957;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184292;1000950692383332315;63852430573058;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184312;1000950692483357362;63852430573157;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184332;1000950692583383512;63852430573377;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184352;1000950692683410518;63852430573377;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184372;1000950692783438022;63852430573483;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184392;1000950692883470204;63852430573616;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184412;1000950692983503427;63852430573681;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184432;1000950693083530979;63852430573817;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184452;1000950693183563672;63852430573880;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184472;1000950693283603732;63852430574020;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184492;1000950693383641337;63852430574102;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184512;1000950693483735002;63852430574157;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184532;1000950693583766737;63852430574257;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184552;1000950693683808089;63852430574390;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184572;1000950693783841621;63852430574486;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184592;1000950693883868935;63852430574578;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184612;1000950693983904512;63852430574703;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184632;1000950694083950856;63852430574790;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184652;1000950694183985994;63852430574876;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184672;1000950694284019507;63852430574968;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184692;1000950694384057663;63852430575055;(-0.509, 0.828, 0.324);(0.014, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184712;1000950694484101804;63852430575192;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184732;1000950694584139494;63852430575271;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184752;1000950694684178069;63852430575373;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184772;1000950694784219541;63852430575472;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184792;1000950694884259951;63852430575571;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184812;1000950694984301508;63852430575672;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184832;1000950695084345194;63852430575769;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184852;1000950695184385631;63852430575870;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184872;1000950695284422473;63852430575971;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184892;1000950695384467461;63852430576072;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184912;1000950695484512683;63852430576171;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184932;1000950695584549825;63852430576271;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184951;1000950695679362954;63852430576370;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184971;1000950695779416154;63852430576471;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
184991;1000950695879470144;63852430576573;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.015, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
185011;1000950695979512909;63852430576671;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
185031;1000950696079554715;63852430576770;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
185051;1000950696179607281;63852430576872;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
185071;1000950696279660198;63852430576973;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
185091;1000950696379584330;63852430577103;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
185111;1000950696479630615;63852430577168;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
185131;1000950696579687717;63852430577293;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
185151;1000950696679742645;63852430577380;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
185171;1000950696779724366;63852430577466;(-0.509, 0.827, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
185191;1000950696879777569;63852430577561;(-0.509, 0.828, 0.324);(0.015, -0.851, 0.014, 0.524);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
