Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusName
342498;1000093780644096303;63853878277613;(-0.290, 0.823, 0.393);(0.028, -0.239, 0.001, 0.971);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
342518;1000093780744133605;63853878277614;(-0.290, 0.823, 0.393);(0.028, -0.239, 0.001, 0.971);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
342538;1000093780844181897;63853878277614;(-0.290, 0.823, 0.393);(0.028, -0.239, 0.001, 0.971);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
342558;1000093780944222186;63853878277614;(-0.290, 0.823, 0.393);(0.028, -0.239, 0.001, 0.971);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
342578;1000093781044260996;63853878277614;(-0.290, 0.823, 0.393);(0.028, -0.239, 0.001, 0.971);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
342598;1000093781144296444;63853878277707;(-0.290, 0.823, 0.393);(0.027, -0.238, 0.001, 0.971);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
342618;1000093781244338692;63853878277732;(-0.290, 0.823, 0.393);(0.027, -0.238, 0.001, 0.971);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
342638;1000093781344377569;63853878277965;(-0.290, 0.823, 0.393);(0.027, -0.238, 0.001, 0.971);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
342658;1000093781444414050;63853878277965;(-0.290, 0.823, 0.393);(0.027, -0.238, 0.001, 0.971);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
342678;1000093781544456868;63853878278177;(-0.290, 0.823, 0.393);(0.027, -0.238, 0.001, 0.971);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
