Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
1916433;1000009641503673177;63851477928276;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.019, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916453;1000009641603775261;63851477928276;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.019, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916473;1000009641703888664;63851477928276;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.019, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916493;1000009641803939395;63851477928276;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.019, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916513;1000009641903982721;63851477928276;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.019, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916533;1000009642003964842;63851477928462;(-0.498, 0.829, 0.228);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916553;1000009642104023469;63851477928619;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916573;1000009642204075783;63851477928619;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916593;1000009642304045790;63851477928830;(-0.498, 0.829, 0.228);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916613;1000009642404034556;63851477928830;(-0.498, 0.829, 0.228);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916633;1000009642504101793;63851477929057;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916653;1000009642604159384;63851477929057;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916673;1000009642704141738;63851477929255;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916693;1000009642804203329;63851477929255;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916713;1000009642904271394;63851477929464;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916733;1000009643004328782;63851477929464;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916753;1000009643104314888;63851477929674;(-0.498, 0.829, 0.228);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916773;1000009643204377540;63851477929674;(-0.498, 0.829, 0.228);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916793;1000009643304441231;63851477929674;(-0.498, 0.829, 0.228);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916813;1000009643404430862;63851477929886;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916833;1000009643504424298;63851477929886;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916853;1000009643604490661;63851477930099;(-0.498, 0.829, 0.228);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916873;1000009643704554695;63851477930099;(-0.498, 0.829, 0.228);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916893;1000009643804550964;63851477930310;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916913;1000009643904550027;63851477930310;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916933;1000009644004616996;63851477930521;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916953;1000009644104679424;63851477930521;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916973;1000009644204748443;63851477930879;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1916993;1000009644304815969;63851477930880;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917013;1000009644404875454;63851477930880;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917033;1000009644504863689;63851477930880;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917053;1000009644604865255;63851477931000;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917073;1000009644704939769;63851477931092;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917093;1000009644805002593;63851477931193;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917113;1000009644904995534;63851477931294;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917133;1000009645005000527;63851477931394;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917153;1000009645105310484;63851477931495;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917173;1000009645205370167;63851477931594;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917193;1000009645305361050;63851477931694;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917213;1000009645405431694;63851477931795;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917233;1000009645505502026;63851477931895;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917253;1000009645605495520;63851477931996;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917273;1000009645705491755;63851477932096;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917293;1000009645805565296;63851477932196;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917313;1000009645905635101;63851477932295;(-0.498, 0.828, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917333;1000009646005634007;63851477932398;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917353;1000009646105635319;63851477932496;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917373;1000009646205707242;63851477932596;(-0.498, 0.829, 0.228);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917393;1000009646305774992;63851477932695;(-0.498, 0.829, 0.228);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917413;1000009646405778149;63851477932798;(-0.498, 0.829, 0.228);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917433;1000009646505784328;63851477932898;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917453;1000009646605853128;63851477932997;(-0.498, 0.829, 0.227);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917473;1000009646705855228;63851477933097;(-0.498, 0.829, 0.228);(-0.011, 0.882, -0.018, -0.470);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
1917493;1000009646805867330;63851477933196;(-0.498, 0.829, 0.228);(-0.011, 0.882, -0.018, -0.471);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
